module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
run,Godot/three_d/rules/run.gd,transfer_venue,100,开盘方案跨店保留（只保留四类晚会级键）,Godot/three_d/rules/run.gd:107-108,phase_condition,yes,-,Godot/three_d/tests/venue_transfer_test.gd::Transfer cannot reroll,output/3d/venue-order-matrix.json,strong,unreachable_or_not_transition,非独立语义结果：并入 transfer.success；.duplicate(true) 与直接赋值之分只是 Dictionary/Array 与 String 的类型驱动差别，不改变后继语义
run,Godot/three_d/rules/run.gd,transfer_venue,100,旧版 plan 缺失键的回填（opponents/events/room_layout）,Godot/three_d/rules/run.gd:109-113,phase_condition,yes,-,Godot/three_d/tests/event_pool_test.gd::Version 1 retains original event placement,-,weak,unreachable_or_not_transition,防御分支但不是独立结果：三个 if 只做缺键回填，仍走同一条 transfer.success。可达性：需要 v1/v2 版本或缺失字段的旧存档（run_variants.gd:39 允许 version 1..4，run_checkpoint.gd:88 放行，SaveStore.VERSION 恒为 1 从不失效）；event_pool_test.gd:42-50 与 room_pool_test.gd:102-106 证明这类 plan 可被 restore，但都未在 transfer_venue 上验证
run,Godot/three_d/rules/run.gd,transfer_venue,100,variant_plan 为空时重生成（旧存档缺 run_seed/variant_plan）,Godot/three_d/rules/run.gd:104,phase_condition,yes,-,Godot/three_d/tests/run_variants_test.gd::Old active run keeps original shelf without reroll,-,weak,unreachable_or_not_transition,防御回退但并入 transfer.success。可达性：run_variants_test.gd:42-47 造出空 variant_plan 且 active 的合法存档并通过 restore；但该测试只验证 shop_stock 回退，未调用 transfer_venue，故对 transfer_venue 这条分支是弱证据
run,Godot/three_d/rules/run.gd,transfer_venue,100,venue_history 为空的兜底补齐,Godot/three_d/rules/run.gd:115-116,phase_condition,no,-,-,-,none,unreachable_or_not_transition,不可达：start:55 必写 [destination]；旧存档空 history 由 run_checkpoint.gd:31-32 在 restore 时补齐，且 world.gd:1009 要求 (room==stash)==not active，因此 transfer 时刻 history 必非空
run,Godot/three_d/rules/run.gd,settle_table,183,接受体：离座公共状态（completed/search_index/行动力/heat_reduced/public_exit/revision）,Godot/three_d/rules/run.gd:206-216,phase_condition,yes,-,Godot/three_d/tests/settlement_coverage_test.gd::settlement.ivory,output/3d/settlement-coverage.json,strong,unreachable_or_not_transition,该段对 17 条 settlement 接受 ID 共用，故不另立 ID（此行只为记录被共用的权威写入，代表断言取自 settlement.ivory 那条）。断言含 action_points==content.searchActions、heat_reduced==false、public_exit==true、search_index+1、revision+1、completed 追加一桌
run,Godot/three_d/rules/run.gd,service_action,315,分发：kind in Advanced.KINDS（signal/notes/phone-route/phone-table/pass/reserve）,Godot/three_d/rules/run.gd:322-325,mutually_exclusive,yes,-,Godot/three_d/tests/advanced_coverage_test.gd,-,none,unreachable_or_not_transition,纯委托：本行只做 revision 守卫并转发 Advanced.apply + revision+1；独立语义（26 条 advanced.*）登记在 advanced_services.gd 名下，本审计不重复认领，故不计入未映射候选。互斥性：kind 一次只能属于一类
run,Godot/three_d/rules/run.gd,service_action,315,互斥尾段：工具类另加 table.revision+1 / 其它类扣 1 行动力,Godot/three_d/rules/run.gd:356-362,mutually_exclusive,yes,-,Godot/three_d/tests/service_coverage_test.gd::service.buy,-,none,unreachable_or_not_transition,同一 kind 只会走一侧（lens/sleeve 走 356-360 且不扣行动力，其余走 361-362），不构成新的语义结果，已并入各自接受行。tool_coverage_test.gd:41 断言了工具路径不消耗行动力
run_variants,Godot/three_d/rules/run_variants.gd,generate,9,seed!=0 随机化 / seed==0 输出确定性规范 plan（货架不剔除、initial_offer=0、对手取自 content）,Godot/three_d/rules/run_variants.gd:17-18,phase_condition,yes,-,Godot/three_d/tests/run_variants_test.gd::Normal UI departure commits random seed,output/3d/run-variants.json,strong,unreachable_or_not_transition,纯函数取值模式，不是独立结果：两种模式的产物都经 start.success / transfer.success 才成为权威状态。seed==0 的玩家可达性仅来自旧存档（run_checkpoint.gd:26-27 用 run.get 默认值回填 run_seed=0），正式 UI 出发恒传 >=1（world.gd:839）
run_variants,Godot/three_d/rules/run_variants.gd,generate,9,货架 5 阶段构建 + 第 2 阶段兜底补一次性手机 + 剔除一件可选工具（ESSENTIALS 永不剔除）,Godot/three_d/rules/run_variants.gd:12-19,phase_condition,yes,-,Godot/three_d/tests/run_variants_test.gd::Unavailable tool cannot be bought or consume resources,output/3d/run-variants.json,strong,unreachable_or_not_transition,纯函数输出，被 shop_stock 消费；不构成独立 Run 状态转移（无 ID 需求）。测试断言同种子可复现、剔除项不可购买、跨阶段还原后货架一致
run_variants,Godot/three_d/rules/run_variants.gd,generate,9,table_seeds 逐桌取 rng（<2147483647）,Godot/three_d/rules/run_variants.gd:20-22,phase_condition,yes,-,Godot/three_d/tests/seed_diversity_test.gd,output/3d/seed-diversity.json,strong,unreachable_or_not_transition,纯函数输出，成为 enter_table 的牌堆种子来源；run_variants_test.gd:59-62 断言真实入口使用已提交种子且重载不重掷
