module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat pregame path; table_game == null,567-584,accepted,reachable,world.leave_pregame,Godot/three_d/tests/world_coverage_test.gd:216-220;Godot/three_d/tests/table_integration.gd:32-33,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Pregame seat exits back to exploration without table settlement.
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat paused guard,565-566,rejected,programmatic_only,world.leave_paused_rejected,Godot/three_d/tests/world_coverage_test.gd:204-210,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,guard_no_change,catalogued,Pause screen removes the seat controls; test directly calls leave_seat while paused.
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat -> check_pressure forced exit,567-584;1047-1052,accepted,precondition_unproven,world.leave_forced_pressure_exit,Godot/three_d/tests/world_coverage_test.gd:377-393,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued_pending_reachability,"Strong loss/settlement postcondition; test sets heat=6 directly before seating, so natural accumulation to this trigger is not proved here."
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat unfinished-table guard,565-566,rejected,programmatic_only,world.leave_active_rejected,Godot/three_d/tests/world_coverage_test.gd:227-234;Godot/three_d/tests/table_integration.gd:32-33,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,guard_no_change,catalogued,Table HUD hides its leave button until terminal status; direct method call tests the defensive guard.
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat finished-table settlement and cleanup,567-584,accepted,reachable,world.leave_finished,Godot/three_d/tests/world_coverage_test.gd:235-251;Godot/three_d/tests/table_integration.gd:67-79,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,"Terminal table leave returns final stack, clears table, and records completion; repeated leave does not duplicate cash."
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat not-seated guard,565-566,rejected,programmatic_only,world.leave_unseated,Godot/three_d/tests/world_coverage_test.gd:252-254,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,guard_no_change,catalogued,Normal UI has no leave-seat control when the player is not seated; direct repeated call verifies idempotent rejection.
World,Godot/three_d/scripts/world.gd,toggle_pause,586,toggle_pause run-panel branch,590-592,accepted,reachable,world.toggle_pause_run_panel,Godot/three_d/tests/world_coverage_test.gd:77-86,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Escape closes the run panel and restores exploration controls without changing Run snapshot.
World,Godot/three_d/scripts/world.gd,toggle_pause,586,toggle_pause services-panel branch,587-589,accepted,reachable,world.toggle_pause_services,Godot/three_d/tests/world_coverage_test.gd:93-101,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Escape closes service panel and restores controls without changing Run snapshot.
World,Godot/three_d/scripts/world.gd,toggle_pause,586,toggle_pause paused branch -> resume,593-595;612-619,accepted,reachable,world.toggle_pause_resume,Godot/three_d/tests/world_coverage_test.gd:216-218;Godot/three_d/tests/table_integration.gd:35-42,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Escape resumes pregame/active table; active-table integration checks the hand revision stays fixed while paused and controls restore.
World,Godot/three_d/scripts/world.gd,toggle_pause,586,toggle_pause seated pregame branch -> leave_seat,596-598,accepted,reachable,world.toggle_pause_pregame_leave,Godot/three_d/tests/world_coverage_test.gd:221-226,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Escape from pregame seating returns to exploration without starting a table.
World,Godot/three_d/scripts/world.gd,pause_game,601,pause_game accepted branch,601-610,accepted,reachable,world.pause,Godot/three_d/tests/world_coverage_test.gd:204-205;Godot/three_d/tests/table_integration.gd:34-42,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Pregame and active-table pause both hide table controls; active-table integration verifies gameplay revision is frozen.
World,Godot/three_d/scripts/world.gd,pause_game,601,pause_game repeated while paused,601-610,accepted,programmatic_only,world.pause_repeated,Godot/three_d/tests/world_coverage_test.gd:206-208,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Player-facing toggle maps an already-paused state to resume; the second direct pause_game call is not exposed through UI.
World,Godot/three_d/scripts/world.gd,resume,612,resume accepted branch,612-619,accepted,reachable,world.resume,Godot/three_d/tests/world_coverage_test.gd:211-212;Godot/three_d/tests/table_integration.gd:40-42,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,Resume restores the correct exploration or seat controls/camera; active-table integration checks seated state persists.
World,Godot/three_d/scripts/world.gd,resume,612,resume repeated while already resumed,612-619,accepted,programmatic_only,world.resume_repeated,Godot/three_d/tests/world_coverage_test.gd:213-215,output/3d/world-coverage.json;output/3d/regression/20260925-101457/report.json,state_postcondition,catalogued,"Pause UI is hidden after resume; repeated direct resume is defensive/idempotence evidence, not a normal player action."
World,Godot/three_d/scripts/world.gd,leave_seat,564,leave_seat: Run.settle_table() refusal after the outer guards pass,568-569,settle_table rejection leaves seat/table state unchanged,unproven_by_test_fixture,,,,no_postcondition_test,unmapped_defensive_branch,The call uses current Run revision and follows a finished Table guard; a false result requires inconsistent Run/Table state (for example active=false with a finished seated table). No production path found yet; do not add a semantic ID until reachability and distinction are established.
