module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,guard: panel not visible or paused,834-836,rejected,programmatic_only,world.confirm_hidden,Godot/three_d/tests/world_coverage_test.gd:75-76;Godot/three_d/tests/world_coverage_test.gd:335-342,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,Hidden-panel and visible-but-paused cases both leave complete checkpoint/revision unchanged; normal controls do not issue either confirmation.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,guard: run_confirm.disabled,834-836,rejected,programmatic_only,world.confirm_disabled,Godot/three_d/tests/world_coverage_test.gd:87-91,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,Test invokes confirm on a disabled route-preview button; disabled UI cannot be activated by normal player input.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,run_action enter; Run.start accepted,837-844,accepted,reachable,world.room_entry,Godot/three_d/tests/world_coverage_test.gd:175-182,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,Checks room/run/cash/vault and verifies selected positive seed is persisted and fully determines variant_plan.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,run_action transfer; transfer_venue accepted,845-851,accepted,reachable,world.transfer_confirm,Godot/three_d/tests/world_coverage_test.gd:306-312;Godot/three_d/tests/transfer_coverage_test.gd:10-37,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,World confirms destination/history and fee; Run transfer suite verifies its state and preserved run-wide plan.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,run_action extract; extract accepted,852-857,accepted,reachable,world.extract_confirm,Godot/three_d/tests/world_coverage_test.gd:319-322;Godot/three_d/tests/lifecycle_coverage_test.gd:43-62,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,"Checks final net enters vault, cash clears, run ends, stash becomes current room, and panel closes."
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,run_action abandon; abandon accepted,858-863,accepted,reachable,world.abandon_confirm,Godot/three_d/tests/world_coverage_test.gd:323-328;Godot/three_d/tests/lifecycle_coverage_test.gd:63-73,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued,"Checks abandonment result and vault settlement, cash clearing, run end, and return to stash."
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,run_action reset; reset_demo accepted,864-868,accepted,precondition_unproven,world.reset_confirm,Godot/three_d/tests/world_coverage_test.gd:329-333;Godot/three_d/tests/lifecycle_coverage_test.gd:24-31,output/3d/world-coverage.json;output/3d/regression/20260925-105659/report.json,state_postcondition,catalogued_pending_reachability,"Checks reset result; test sets vault=119 directly. Low-vault state appears reachable after repeated failed runs, but natural depletion is not demonstrated by this fixture."
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,Run.start refusal after confirm guard passes (stale revision/active/invalid destination),839-840,rejected/no mutation,unproven_by_test_fixture,,,,no_world_postcondition_test,unmapped_defensive_branch,The run panel blocks normal player actions that could stale run_revision; current UI has no path found to these false returns.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,Run.transfer_venue refusal after confirm guard passes (stale revision/quote reason),845-847,rejected/no mutation,unproven_by_test_fixture,,,,no_world_postcondition_test,unmapped_defensive_branch,show_run_panel disables confirmation for quote reasons and modal blocks other Run actions; stale direct calls are not shown player reachable.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,Run.extract refusal after confirm guard passes (stale revision/quote reason),852-854,rejected/no mutation,unproven_by_test_fixture,,,,no_world_postcondition_test,unmapped_defensive_branch,Route knowledge/quote failures disable the UI confirmation; a changed revision while panel is open has no normal source found.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,Run.abandon refusal after confirm guard passes (stale revision/quote reason),858-860,rejected/no mutation,unproven_by_test_fixture,,,,no_world_postcondition_test,unmapped_defensive_branch,Quote failures disable the UI confirmation; a changed revision while panel is open has no normal source found.
World,Godot/three_d/scripts/world.gd,confirm_run_action,834,Run.reset_demo refusal (stale revision/active/vault threshold),864-868,rejected/no mutation,unproven_by_test_fixture,,,,no_world_postcondition_test,unmapped_defensive_branch,"Reset is offered only from the enter panel when vault < 120; with modal controls locked and current revision, false return is defensive."
