module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
run,Godot/three_d/rules/run.gd,enter_table,165,fork 房间图：镜厅改为只需货运桌（room_requirements:147-148）,Godot/three_d/rules/run.gd:147-148,rejected,yes,-,Godot/three_d/tests/room_pool_test.gd::Mirror entry follows graph,-,weak,reachable_unmapped,与 entry.locked 的锁拓扑不同（linear 下镜厅需账房地窖）。room_pool_test.gd:26 断言 room_blocked_reason(mirror-hall).is_empty()==(room_layout==fork)，:106 断言 v3 保留线性，但只断言锁判定、未断言拒绝时 enter_table 的完整状态不变 → weak。分母候选（需补：fork 下未完成货运桌时 enter_table(mirror-hall) 返回 null 且完整 checkpoint 不变）
run,Godot/three_d/rules/run.gd,enter_table,165,fork 房间图：余烬桌改为需账房+镜厅同时完成（room_requirements:149）,Godot/three_d/rules/run.gd:149,rejected,yes,-,Godot/three_d/tests/room_pool_test.gd::Fork final room requires both middle tables,-,weak,reachable_unmapped,room_pool_test.gd:29 断言 room_blocked_reason(embers-table).is_empty()==(room_layout==linear)，:94-97 在真实门上断言“必须先有账房”。同样只有锁判定、无完整状态断言 → weak。分母候选
run_variants,Godot/three_d/rules/run_variants.gd,generate,9,room_layout 取 fork 当且仅当 seed!=0 且 rng<0.5,Godot/three_d/rules/run_variants.gd:36,phase_condition,yes,-,Godot/three_d/tests/room_pool_test.gd::Two room graphs generated,-,strong,reachable_unmapped,该输出直接改变房间锁拓扑（经 run.gd:147-149）→ 与 enter_table 的两条 fork 候选同源。room_pool_test.gd:15-16 断言 100 个种子产生恰好 2 种图，:26/:29 断言锁关系随图变化。目录无 ID（候选）
table,Godot/three_d/rules/table.gd,start_hand,24,盲注封顶：mini(stack; blind) 允许不足额盲注,Godot/three_d/rules/table.gd:44-46,phase_condition,yes,-,Godot/three_d/tests/table_test.gd::All-in blind receives cards and remains eligible,-,weak,reachable_unmapped,mini() 真正封顶（stack<blind）的路径无 ID 且无断言；table_test.gd:81-85 只用 stack==smallBlind 的等值边界（即未触达封顶）故只算弱证据。无 coverage JSON。
table,Godot/three_d/rules/table.gd,start_hand,24,洗牌并两轮各发一张底牌（推进 RNG 与牌堆减 6 张）,Godot/three_d/rules/table.gd:47-50,accepted,yes,-,Godot/three_d/tests/poker_progress_coverage_test.gd::next_hand_heads_up;Godot/three_d/tests/persistence_capture_coverage_test.gd::table_fields_complete,output/3d/poker_progress-coverage.json,weak,reachable_unmapped,RNG 推进仅以 rng.value != 前值（poker_progress test 第75行）与 deck.size()==46（persistence_capture test 第58行）间接断言；无具体牌序或 rng.value 期望值断言也无专属 ID。实现点登记在 poker.shuffle_deck 行。
table,Godot/three_d/rules/table.gd,act,77,开注（old_target==0）后本街加注权保持可用,Godot/three_d/rules/table.gd:102-102,phase_condition,yes,-,-,-,none,reachable_unmapped,后继 raiseUsed=old_target!=0 的开注分支；现有 poker_action.open 只断言筹码与 currentBet 与折扣未断言 raiseUsed 故按未映射记。这是断言缺口而非分支缺口。最小复现与应补断言见 notes 第3节。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,pause 动作 → pause_requested.emit() + set_input_as_handled,Godot/three_d/scripts/player.gd:38-42,accepted,yes,-,-,-,weak,reachable_unmapped,输入绑定链 player.gd:39 → world.gd:97 connect → world.toggle_pause（信号回调类型）无任何测试覆盖：既有测试全部直接调用 world.toggle_pause。应补最小复现：emit player.pause_requested 后断言 world.paused==true（或注入 Esc KeyEvent）。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,鼠标移动 + MOUSE_MODE_CAPTURED → rotate_y(-dx·0.002) / camera.rotation.x clamp(±1.25),Godot/three_d/scripts/player.gd:45-47,accepted,yes,-,-,-,none,reachable_unmapped,★玩家可达且写入 world.checkpoint_state 的 look（camera.rotation）与 player（transform）字段。目录无对应 ID；既有测试只直接赋值 rotation/look_at，无一处走真实 InputEventMouseMotion。应补：注入 InputEventMouseMotion 后断言 player.rotation.y 改变、camera.rotation.x 被 clamp 到 ±LOOK_PITCH_LIMIT（当前仅 world_restore_atomic_test.gd:56-59 在 restore 侧断言边界）。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,interact 按下 + CAPTURED → update_focus(); 若 focused 有效 → interaction_requested.emit(focused),Godot/three_d/scripts/player.gd:48-51,accepted,yes,-,-,-,weak,reachable_unmapped,信号链 player.interaction_requested → world.gd:95 connect → world.request_action 无测试直接覆盖（测试均直接调 world.request_action）。应补最小复现：emit interaction_requested 后断言 request_action 的等价后继。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,focused 无效 → 不发出 interaction_requested（准星未命中不交互）,Godot/three_d/scripts/player.gd:50-51,rejected,yes,-,-,-,none,reachable_unmapped,玩家可达（准星未对准任何 anchor 时按 E），后继为『无任何请求』。与 world.raycast_unfocused（request_action 侧守卫）不同语义，目录未登记。
