实体ID,参考素材,Blender源文件,Godot运行文件,当前表现,缺少内容,影响阶段,证据路径
藏匿点(stash),assets/scene-plates/藏匿点*.png(未逐一核对命名),assets/blender/stash-noir/stash-noir.blend(939 KB;1479 objects/1115 meshes),Godot/three_d/assets/stash.glb(16400664 B)+ stash-room-detail.glb(5214960 B)+ 材质 PNG×4,已接入主场景并通过 build_scene.py 重建验证;含活动箱盖 CaseLidPivot、雨幕粒子、台灯、抽屉、窗户;材质烘焙为 1024 PBR 贴图已完成;Plaster 材质仅见独立 PNG 未在 stash-export.json 中声明,近景精修(磨损/玻璃/金属)未做,Phase 3,assets/blender/stash-noir/verification.json;Godot/three_d/assets/stash-export.json;Godot/three_d/assets/stash.glb
烟雾酒馆大厅(tavern room·四店共用),assets/scene-plates/tavern-smoky-den-bg.png(1376×768),assets/blender/tavern-detail/tavern-detail.blend + interactive-props.blend,Godot/three_d/assets/tavern-detail.glb(11972100 B;8 meshes/72716 tri)+ interactive-props.glb(5945412 B)+ 材质 PNG×6,四家酒馆共用同一套灰盒外壳与细节包;布局由 world.gd:255 与 tavern_layout.gd 以代码摆放(搜索点/紧急口/固定口/后厨楼梯/河边接驳);0 个独立建筑,四店之间的**建筑差异仅体现在费率、货架、路线与色板**;不是四套空间,Phase 3,Godot/three_d/assets/detail-export.json;Godot/three_d/scripts/tavern_layout.gd;docs/3d-production/phase-1/cross-venue-evening.md:25(明示共用灰盒)
账房地窖(LedgerCellar 房间),同上(无专属参考图),同上(复用 tavern-detail),同上,"账房地窖是 world.gd:80 build_tavern(""LedgerCellar"", 20.0) 生成的房间实例之一，牌桌 id=ledger-cellar。**它不是独立于四酒馆之外的""第四个牌室""、也不是第五套空间**：Tavern / LedgerCellar / MirrorHall / EmbersRoom 四个房间由同一个 build_tavern() 逐份生成（world.gd:79-82，offset 10/20/30/40），共用同一套灰盒外壳与细节包；此处只表现为""同一建筑内的另一间牌室""（实体门+入座+解锁）",独立房间几何与光照,Phase 3,Godot/three_d/scripts/world.gd:51 ROOMS / :79-82 build_tavern() 四次调用 / :206 build_tavern 定义；docs/3d-production/full-game-audit.md
镜厅(MirrorHall 房间),同上,同上,同上,同上;分支局增加 MirrorPassage 实体门(world.gd:964-976),独立空间设计,Phase 3,Godot/three_d/scripts/world.gd:964-976
余烬牌室(Embers 房间),同上,同上,同上,同上,独立空间设计,Phase 3,Godot/three_d/scripts/world.gd(ROOMS)
对手角色×8(dock-braggart/ledger-clerk/river-shark/velvet-rook/calm-widow/smiling-knife/house-viper/ash-smuggler),assets/scene-plates/ 与 output/ 中**无任何对手立绘**(inventory 已核实),assets/blender/characters/build_characters.py + 8 个 .blend(每个约 1.35–1.42 MB),Godot/three_d/assets/characters/*.glb + manifest.json,"每人 14 骨骼、4 段动画（idle/bet/win/fold），按骨骼形变已验证（characters_test 99）。**几何不是 3 套而是 4 套**：对 9 个 GLB 的 POSITION 与 JOINTS_0/WEIGHTS_0 做原始字节 sha256，得到 4 个互不相同的组——A 组 4 人（ash-smuggler/dock-braggart/river-shark/smiling-knife，同 hat=True）、B 组 3 人（house-viper/ledger-clerk/velvet-rook）、C 组 1 人（bartender，standing=True）、D 组 1 人（calm-widow，female=True）。**顶点数只有 3 种取值**（manifest 40282/39558/38588）成立，但""3 种顶点数 ⇒ 3 套网格""不成立：bartender 与 B 组顶点数同为 39558 而顶点坐标不同。配色侧：9 人材质名完全相同（Wool/Hair/Brass/Skin/Eye white/Iris/Lips/Ivory cotton/Polished leather，各 9 个），但 (Wool, Hair, Skin) 三色的 BaseColorFactor **9 人 9 套、无重复**",8 个独立雕塑级角色、面部/服装细节、个人道具、差异化骨骼；连续 30 分钟动画稳定性未测,Phase 3,Godot/three_d/assets/characters/manifest.json；assets/blender/characters/build_characters.py:9 CAST / :33-36 材质按 idx 生成；output/external-handoff/B1/b1-audit.json
酒保(bartender),assets/blender/characters/bartender.blend(1394987 B),同 build_characters.py,Godot/three_d/assets/characters/bartender.glb + manifest.json,"**酒保 GLB 已接线**：characters.gd:27 在 build() 里 actor(""bartender"", ...) 加载 bartender.glb，:28-30 随即对 visual_role 以 ""Bartender"" 开头的节点 hide()，把 bar_display.gd:13-15 创建的 3 个占位盒体（BartenderTorso/Head/Hand）隐藏；交付动画入口 characters.gd:57-59 deliver() 播 bet 段，由 world.gd:861 在购买交接时调用，characters_test.gd:45 已覆盖。**遗留（不是""未接线""，而是""接线后仍冗余""）**：bar_display.gd 仍继续创建盒体、:42-49 的手部 tween 作用在已隐藏盒体上，可见效果由道具模型 + 酒保 bet 动画承担；酒保几何为独立组 C（standing=True，lift=0.35）",清理 bar_display 的遗留占位盒体与其 tween；酒保专属雕塑细节（围裙/袖口/托盘道具）,Phase 3,Godot/three_d/scripts/characters.gd:22-31 / :57-59；Godot/three_d/scripts/bar_display.gd:13-16 / :38-50；Godot/three_d/scripts/world.gd:860-861；Godot/three_d/tests/characters_test.gd:45；Godot/three_d/tests/art_integration_test.gd:20-22
可用道具×9(marked-lens/signal-lighter/player-notes/steadying-drink/disposable-phone/kitchen-pass/dock-passkey/false-bottom-wallet/sleeve-clip),assets/scene-plates/ 商品货架参考图,assets/blender/tavern-detail/interactive-props.blend + build_props.py,Godot/three_d/assets/interactive-props.glb(5945412 B) + props-export.json(12 键),"**9 件可用道具不是 9 个独立 GLB 文件**：全部是 interactive-props.glb 内的命名部件（节点名即道具 id），该 GLB 共 **12 个部件**＝9 件可用道具 + drawer/loose-card/loose-chip 三个场景件；props-export.json 也正好是这 12 个键。每件在场景里是单个 MeshInstance3D（art_integration_test.gd:24-28 对 12 个 id 逐个断言""单件可移动网格 + 亚米级尺度""）。加载走 world.gd:11 PROPS_ASSET + :958 make_detailed_prop() 按 id 取节点；货架展示与购买交接走 bar_display.gd:24-37 / :52-53 make_item() 与 world.gd:860 deliver()。目前是道具级粗模",目前是道具级粗模;磨损/玻璃/金属质感未做;无独立近景检视镜头,Phase 3,Godot/three_d/assets/props-export.json；Godot/three_d/assets/interactive-props.glb（glTF 节点名核对，12 个）；Godot/three_d/scripts/world.gd:11 / :958-969；Godot/three_d/scripts/bar_display.gd:52-56；Godot/three_d/tests/art_integration_test.gd:24-28
贵重道具×10(old-silver-lighter/ivory-chip/ruby-cufflink/gold-cased-watch/antique-coin/sealed-bond/pearl-necklace/emerald-brooch/obsidian-idol/vault-promissory),暂无专属参考图,无,无,"**""无源文件、无 GLB、3D 不可见""只对""道具实例""成立，对""静态装饰""不成立**：stash-noir 场景里有「05 • Personal valuables」装饰组（build_scene.py:145-163），经 export_game_asset.py 保留组号 01-07（:17）并合并为 stash.glb 的 ""Valuables"" 节点（:53 labels），随 world.gd:181 STASH_ASSET 加载，**在藏匿点可见**。逐件对应：pearl-necklace ↔ Pearl necklace（49 外圈+19 内圈+搭扣）；gold-cased-watch ↔ Pocket watch body + Ivory enamel dial + 金色表圈/指针/表弓；ivory-chip ↔「04 • Casino chips」筹码堆装饰；old-silver-lighter ↔ 近似的「Silver cigarette case」银烟盒（**不是打火机**）；ruby-cufflink / antique-coin / sealed-bond / emerald-brooch / obsidian-idol / vault-promissory 无对应装饰。**装饰存在 ≠ 可用道具完成**：十件都没有独立可复用模型，都没有背包/奖励的 3D 表现，规则侧（价值/占格/抵押/sale_value/撤离计价/奖励发放）照常生效",10 件贵重道具的独立可复用模型（其中 sealed-bond / obsidian-idol / vault-promissory 3 件占 2 格，建议有体积差异）；奖励获得/抵押托管/失去的动作表现,Phase 3(mirror-hall/embers-table 的抵押选择界面已可用文字驱动),"assets/blender/stash-noir/build_scene.py:145-163；assets/blender/stash-noir/export_game_asset.py:17 / :53；Godot/three_d/assets/stash.glb（glTF 节点名 ""Valuables"" 核对）；Godot/three_d/scripts/world.gd:14 / :179-184；Godot/three_d/rules/content.json 物品段；Godot/three_d/scripts/table_hud.gd:144-148"
搜索点道具(search 事件产物),无,search_events.gd 定义的 4 类事件(外套/侍者交易/封口信/胸针)结果物品,无,`world.gd:255` 的 SearchSite 是 0.65³ 的空 BoxMesh 触发区;事件结果只体现在背包数据与文案;无实体物件,搜索结果的实体呈现(拿到手的物件、被拿走后的空位),Phase 2–3,Godot/three_d/scripts/world.gd:255;Godot/three_d/rules/search_events.gd
