module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes,triage_status,reachability_evidence,state_change_evidence,existing_id_check,recommended_action,review_notes
run,Godot/three_d/rules/run.gd,enter_table,165,fork 房间图：镜厅改为只需货运桌（room_requirements:147-148）,Godot/three_d/rules/run.gd:147-148,rejected,yes,-,Godot/three_d/tests/room_pool_test.gd::Mirror entry follows graph,-,weak,reachable_unmapped,与 entry.locked 的锁拓扑不同（linear 下镜厅需账房地窖）。room_pool_test.gd:26 断言 room_blocked_reason(mirror-hall).is_empty()==(room_layout==fork)，:106 断言 v3 保留线性，但只断言锁判定、未断言拒绝时 enter_table 的完整状态不变 → weak。分母候选（需补：fork 下未完成货运桌时 enter_table(mirror-hall) 返回 null 且完整 checkpoint 不变）,same_outcome_merge,"fork 图下玩家走到镜厅门前按 E → world.request_action（房间锚点）→ world.confirm_run_action → run.enter_table(run.revision, ""mirror-hall"")，入口族见目录 world.room_graph_entry / world.room_entry。前置状态来源：run.variant_plan.room_layout == ""fork""（run.gd:147），由 RunVariants.generate（run_variants.gd:36）在开局写入并随存档往返（目录 persistence_run.legacy_variant_plan_restored）。",无权威状态改变：room_blocked_reason 非空时 run.gd:166 守卫命中，:167 直接 return null，revision / 现金 / heat / 背包 / table 均不动。目录把「被拒」本身计为 outcome（entry.* 含 12 条 rejected）。,"same_outcome|entry.locked|「镜厅因房锁被拒」这一结果已由 entry.locked（source=rules/run.gd, entry=enter_table, outcome=rejected）承接；fork 只改变「需要哪几间房」这一输入条件，不改变拒绝结果。room_pool_test.gd:26 已直接断言 room_blocked_reason(mirror-hall) 的 fork/linear 差异。",merge_no_new_id,原候选理由「与 entry.locked 的锁拓扑不同」只说明前置不同，不构成后继新结果；按 counting_rule「Multiple input cases may exercise one ID」归并。可选补断言：fork 下未完成货运桌时 enter_table 返回 null 且完整 checkpoint 不变（现仅断言 room_blocked_reason 本身）。
run,Godot/three_d/rules/run.gd,enter_table,165,fork 房间图：余烬桌改为需账房+镜厅同时完成（room_requirements:149）,Godot/three_d/rules/run.gd:149,rejected,yes,-,Godot/three_d/tests/room_pool_test.gd::Fork final room requires both middle tables,-,weak,reachable_unmapped,room_pool_test.gd:29 断言 room_blocked_reason(embers-table).is_empty()==(room_layout==linear)，:94-97 在真实门上断言“必须先有账房”。同样只有锁判定、无完整状态断言 → weak。分母候选,same_outcome_merge,"同 Row 1 的入口：fork 图下走向余烬桌门 → world.confirm_run_action → run.enter_table(revision, ""embers-table"") 被拒。前置状态来源：room_requirements 在 room_layout==""fork"" 时要求 [ledger-cellar, mirror-hall]（run.gd:149），布局来自 RunVariants.generate（run_variants.gd:36）。",无权威状态改变：run.gd:166 守卫命中即 :167 return null；本行的拒绝是「同时需两间中桌」造成的同一类拒绝。,same_outcome|entry.locked|与 Row 1 同结果同 ID；room_pool_test.gd:29 已断言 room_blocked_reason(embers-table) 随 room_layout 变化（fork 下需两间中桌）。,merge_no_new_id,两条 fork 候选（Row 1/2）与 Row 3 是同一变化源的三处体现，建议一并归并处理。
run_variants,Godot/three_d/rules/run_variants.gd,generate,9,room_layout 取 fork 当且仅当 seed!=0 且 rng<0.5,Godot/three_d/rules/run_variants.gd:36,phase_condition,yes,-,Godot/three_d/tests/room_pool_test.gd::Two room graphs generated,-,strong,reachable_unmapped,该输出直接改变房间锁拓扑（经 run.gd:147-149）→ 与 enter_table 的两条 fork 候选同源。room_pool_test.gd:15-16 断言 100 个种子产生恰好 2 种图，:26/:29 断言锁关系随图变化。目录无 ID（候选）,confirmed_distinct_gap,"正常调度入口：开局 / 迁移时 Run.Variants.generate(content, venue, seed_value)（room_pool_test.gd:14 已用 seed 1..100 驱动该入口）。前置：seed_value != 0 且 rng.next() < 0.5（run_variants.gd:36）。","写入 run.variant_plan.room_layout（""linear""/""fork""）—— 权威 Run 字段：随捕获往返（目录 persistence_run.legacy_variant_plan_restored 覆盖 restore 侧），并经 run.gd:147-149 改变房间锁拓扑。",no_synonym||385 项无 variant./generate./room_layout 家族 ID；最接近的 persistence_run.legacy_variant_plan_restored 只覆盖恢复侧，不覆盖抽取本身。,new_id_candidate,Row 1/2 是它的下游拒绝结果，本行是抽取本身。备选读数：若认定该抽取只是入口 Phase 条件而非独立 outcome，可整体并入 Row 1/2 —— 但 room_layout 是持久化的权威字段，计数规则要求分母覆盖每个玩家可达且改变状态的结果，故按候选列出（低优先）。room_pool_test.gd:15-16/39 已提供取值与锁拓扑证据。
table,Godot/three_d/rules/table.gd,start_hand,24,盲注封顶：mini(stack; blind) 允许不足额盲注,Godot/three_d/rules/table.gd:44-46,phase_condition,yes,-,Godot/three_d/tests/table_test.gd::All-in blind receives cards and remains eligible,-,weak,reachable_unmapped,mini() 真正封顶（stack<blind）的路径无 ID 且无断言；table_test.gd:81-85 只用 stack==smallBlind 的等值边界（即未触达封顶）故只算弱证据。无 coverage JSON。,confirmed_distinct_gap,正常游戏：一手结束 → world.continue_hand（world.gd:658-662）→ table.next_hand → start_hand（table.gd:24）；开局也经 table.start（table.gd:14）触发。前置状态来源：某 seat 的 stack < smallBlind（:44）或大盲 seat 的 stack < openBet（:45），可由上一手全押输光后自然进入下一手达到。,权威 Table 状态改变：commit 金额被 mini() 封顶为实际 stack（:44/:45），该 seat 筹码归零而 currentBet/handContribution/pot 只按实际额变动（:55-58）；:46 currentBet 取两者较大值。,no_synonym||385 项无盲注封顶 / 短盲 ID。近邻 queue.short_all_in 等 10 条属 act 入口的短筹码全押，与 start_hand 的盲注封顶不同入口不同结果；poker_discount.next_hand_resets 只覆盖首次进攻优惠的重置。,new_id_candidate,同一区间内的 :45 是同一语义的第二个实例（大盲按 openBet 封顶），建议一并纳入。table_test.gd:81-85 只用了 stack == smallBlind 的等值边界（mini 未真正封顶），故严格封顶路径目前无断言。建议断言：stack < blind 时 commit 额 == stack、该 seat 进入 stack==0 的待发状态，且牌仍正常发出。
table,Godot/three_d/rules/table.gd,start_hand,24,洗牌并两轮各发一张底牌（推进 RNG 与牌堆减 6 张）,Godot/three_d/rules/table.gd:47-50,accepted,yes,-,Godot/three_d/tests/poker_progress_coverage_test.gd::next_hand_heads_up;Godot/three_d/tests/persistence_capture_coverage_test.gd::table_fields_complete,output/3d/poker_progress-coverage.json,weak,reachable_unmapped,RNG 推进仅以 rng.value != 前值（poker_progress test 第75行）与 deck.size()==46（persistence_capture test 第58行）间接断言；无具体牌序或 rng.value 期望值断言也无专属 ID。实现点登记在 poker.shuffle_deck 行。,existing_id_needs_evidence,同 Row 4 的入口（world.continue_hand → table.next_hand → start_hand；亦经 table.start）。前置：至少 2 名有筹码玩家，否则 table.gd:31-34 提前结束本手。,权威 Table 状态改变：state.deck 重建并洗牌（:47，确定性 RNG 推进），每位 starter 两轮各发一张底牌（:48-50），牌堆减少 starters.size()*2 张（3 人桌 = 6 张，故 52→46）。,"id_owns_successor|poker_progress.next_hand_heads_up;poker_progress.next_hand|发牌完成这一结果已由 poker_progress.next_hand_heads_up（source=rules/table.gd, entry=next_hand, accepted）与 poker_progress.next_hand 承接；deck/holeCards 字段另有 persistence_capture.table_fields_complete 覆盖。缺的是确定性断言（无牌序或 rng.value 期望值），不是新结果。",map_to_existing_add_test,原候选引用的 poker_progress_coverage_test.gd::next_hand_heads_up 属规则层；本行是它的实现段。建议在既有 ID 上补断言：固定 seed 下 holeCards/deck 的期望值（现状仅 rng.value != 前值、deck.size()==46 的间接断言）。
table,Godot/three_d/rules/table.gd,act,77,开注（old_target==0）后本街加注权保持可用,Godot/three_d/rules/table.gd:102-102,phase_condition,yes,-,-,-,none,reachable_unmapped,后继 raiseUsed=old_target!=0 的开注分支；现有 poker_action.open 只断言筹码与 currentBet 与折扣未断言 raiseUsed 故按未映射记。这是断言缺口而非分支缺口。最小复现与应补断言见 notes 第3节。,existing_id_needs_evidence,"玩家在牌桌 HUD 按「开注 / 加注」→ world.play_action（world.gd:647）→ table.act(""player"",""raise"",...)（table.gd:77）。前置状态来源：currentBet == 0 且 stack > open_cost，即 table.gd:72 的 can_raise 开注分支。",权威 Table 状态改变：:102 写入 state.raiseUsed = (old_target != 0)；开注时 old_target == 0，故 raiseUsed 保持 false，使本街后续仍可加注（legal_actions 的 :72 不再受 raiseUsed 限制）。,id_owns_successor|poker_action.open;poker_guard.raise_used|后继就是 poker_action.open（accepted）本身；其互补守卫另有 poker_guard.raise_used（rejected）登记。原候选自己也写明「这是断言缺口而非分支缺口」。,map_to_existing_add_test,"★行号锚点漂移：输入引用的 table.gd:102 是赋值语句，而「开注后加注权保持可用」的条件在 table.gd:72（can_raise = player.stack > open_cost if state.currentBet == 0 else not state.raiseUsed and player.stack > raise_cost）。建议在 poker_action.open 上补断言：open 后同一街 legal_actions()[""raise""] 为真、且再 raise 不被 poker_guard.raise_used 拒绝。不新增 ID。"
table,Godot/three_d/rules/table.gd,act,77,玩家加注或全押时累加 playerPattern.raiseCount（仅 id==player）,Godot/three_d/rules/table.gd:119-120,mutually_exclusive,yes,-,-,-,none,reachable_unmapped,只对 id==player 累加故对手加注不累加（同一行的互补分支）。该字段是 opponent.choose_with_odds 的输入（opponent.gd:65 与 71 与 73）并随 capture 持久化；现有测试只把它当前置条件用（roster_showdown_test.gd:82 与 difficulty_probe.gd:38）无直接后继断言。最小复现与应补断言见 notes 第3节。,existing_id_needs_evidence,同 Row 6 的入口：玩家加注 / 全押经 world.play_action → table.act（table.gd:77）。前置：legal_actions 允许 raise / all-in。,"权威 Table 状态改变：:119-120 仅当 id == ""player"" 且 kind ∈ {raise, all-in} 时累加 state.playerPattern.raiseCount（对手加注不累加）。该字段随捕获持久化（persistence_capture.table_fields_complete），并作为 OpponentRules.choose_with_odds 的输入（opponent.gd:65/71/73）。","id_owns_successor|poker.player_raise_pattern|raiseCount 的累加结果已由 poker.player_raise_pattern（source=rules/table.gd, entry=act, outcome='accepted updates player raise profile for raise/all-in, not opponent actions'）承接 —— 该 ID 的语义与本行的『仅 id==player 累加』完全对应；其外层动作是已登记的 poker_action.raise / .all_in。既有测试只把该字段当前置条件用（roster_showdown_test.gd:82、difficulty_probe.gd:38），缺直接后继断言。",map_to_existing_add_test,★记录目录漂移：本行原先只能归属到 poker_action.raise/.all_in（无专属 ID）；上游于 11:36:40 在工作树新增 poker.player_raise_pattern（目录 385→386，未提交），语义正中本行，故归属改为该 ID。互补分支（对手加注不累加）同属该 ID 声明范围。建议补断言：玩家 raise 后 raiseCount +1、对手 raise 后不变、且该值随 capture/restore 往返一致。不新增 ID。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,pause 动作 → pause_requested.emit() + set_input_as_handled,Godot/three_d/scripts/player.gd:38-42,accepted,yes,-,-,-,weak,reachable_unmapped,输入绑定链 player.gd:39 → world.gd:97 connect → world.toggle_pause（信号回调类型）无任何测试覆盖：既有测试全部直接调用 world.toggle_pause。应补最小复现：emit player.pause_requested 后断言 world.paused==true（或注入 Esc KeyEvent）。,existing_id_needs_evidence,★玩家可达：Esc → configure_input 注册的 pause = KEY_ESCAPE（world.gd:144-150）→ player._unhandled_input（player.gd:39）→ pause_requested.emit()（:40）→ world.gd:97 player.pause_requested.connect(toggle_pause) → world.toggle_pause()。注意 :39 分支不受 Input.mouse_mode 限制（与 :45/:48 不同），故 --test 下同样可达。,权威 World 状态改变：toggle_pause 的四个分支（world.toggle_pause_run_panel / _services / _resume / _pregame_leave）分别改变 paused、player.controls_enabled 与 pause_panel / run_panel / services_panel 可见性（pause_game 见 world.gd:601-610）。,id_owns_successor|world.toggle_pause_run_panel;world.toggle_pause_services;world.toggle_pause_resume;world.toggle_pause_pregame_leave|world 侧四个 toggle_pause 分支已有 ID；缺的是信号绑定链的端到端断言（既有测试全部直接调 world.toggle_pause，无一处 emit player.pause_requested 或注入 Esc KeyEvent）。,map_to_existing_add_test,"与弱证据表既有条目同型：对照 current-tree-weak-evidence.csv 的 world.gd:879-885「输入绑定链无测试直接覆盖」→ catalog_id = world.services_open / services_close。建议补最小复现：emit pause_requested 或 Input.action_press(""pause"") 后断言 paused == true 且命中某一 toggle_pause 分支。"
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,鼠标移动 + MOUSE_MODE_CAPTURED → rotate_y(-dx·0.002) / camera.rotation.x clamp(±1.25),Godot/three_d/scripts/player.gd:45-47,accepted,yes,-,-,-,none,reachable_unmapped,★玩家可达且写入 world.checkpoint_state 的 look（camera.rotation）与 player（transform）字段。目录无对应 ID；既有测试只直接赋值 rotation/look_at，无一处走真实 InputEventMouseMotion。应补：注入 InputEventMouseMotion 后断言 player.rotation.y 改变、camera.rotation.x 被 clamp 到 ±LOOK_PITCH_LIMIT（当前仅 world_restore_atomic_test.gd:56-59 在 restore 侧断言边界）。,confirmed_distinct_gap,★玩家可达：鼠标移动 → player.gd:45-47。前置状态来源：controls_enabled 为真（:43-44 守卫通过）且 Input.mouse_mode == CAPTURED（:45 条件；CAPTURED 由 world.gd:101 在非 --test 时设置）。,权威 World 状态改变：rotate_y(-dx*LOOK_SENSITIVITY) 改 player 的 yaw（:46），camera.rotation.x 被 clampf 到 ±LOOK_PITCH_LIMIT（=1.25，:9/:47）。两者都进入 world.checkpoint_state() 的 look / player 字段（persistence_capture.world_fields_complete 覆盖字段捕获）。,no_synonym||385 项无 look / 朝向 / 俯仰族 ID。边界侧只有 persistence_restore.invalid_transform 在恢复侧校验非法 transform；world_restore_atomic_test.gd:56-59 只断言 restore 的边界，无一处走真实 InputEventMouseMotion。,new_id_candidate,★属「连续输入写权威快照字段」这一类。若目录决定把连续输入整体排除，应在排除清单里显式写入并给出理由（现状是既无 ID 也无排除声明）。建议补断言：注入 InputEventMouseMotion 后 player.rotation.y 改变、camera.rotation.x 被 clamp 到 ±1.25。
player,Godot/three_d/scripts/player.gd,_unhandled_input,38,interact 按下 + CAPTURED → update_focus(); 若 focused 有效 → interaction_requested.emit(focused),Godot/three_d/scripts/player.gd:48-51,accepted,yes,-,-,-,weak,reachable_unmapped,信号链 player.interaction_requested → world.gd:95 connect → world.request_action 无测试直接覆盖（测试均直接调 world.request_action）。应补最小复现：emit interaction_requested 后断言 request_action 的等价后继。,existing_id_needs_evidence,★玩家可达：E（interact = KEY_E，world.gd:144）→ player.gd:48 → update_focus()（:49）→ focused 有效时 interaction_requested.emit(focused)（:50-51）→ world.gd:95 player.interaction_requested.connect(request_action) → world.request_action(anchor)。前置：MODE_CAPTURED（:48）且准星命中带 prompt() 的 Area3D。,权威 World 状态改变：后继由 request_action（world.gd:476-547）决定 —— 入座、开服务面板、开关道具、进房间门等，均已登记。,id_owns_successor|world.raycast_unfocused;world.seat;world.prop_on;world.services_open;world.room_graph_entry|request_action 家族已密集登记（raycast_* / busy / modal / pause guard、seat、prop_on、case_*、room_*、cross_prop_busy 等）；缺的是「E 键信号链」本身的断言（既有测试均直接调 world.request_action）。,map_to_existing_add_test,"与 Row 8 同型（输入绑定链）。建议补最小复现：emit interaction_requested(anchor) 或 Input.action_press(""interact"") 后断言与直接调 request_action 等价的后继。"
