module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,不可达防御：kind 不在 KINDS 时 reason 直接走到 43 return ''（跳过所有专属守卫）,Godot/three_d/rules/advanced_services.gd:4-43,accepted,no,-,-,-,none,unreachable_or_not_transition,同上：run.gd:259/322 的 `kind in Advanced.KINDS` 分派使本回落不可达
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,阶段守卫：not active → '尚未出发',Godot/three_d/rules/advanced_services.gd:5-6,phase_condition,no,advanced.inactive,Godot/three_d/tests/advanced_coverage_test.gd::inactive,output/3d/advanced-coverage.json,strong,catalogued_strong,目录 outcome 记 rejected；本片按生命周期阶段记 phase_condition（口径见 notes 第 1 节）。reservation.inactive 同一守卫。player_reachable=no：服务面板只在 active 时可达
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派；run.gd:259-260）,4,阶段守卫：not run.active → '尚未出发'（kind 无关 → 与 advanced.inactive 同一分支）,Godot/three_d/rules/advanced_services.gd:5-6,phase_condition,no,reservation.inactive,Godot/three_d/tests/reservation_coverage_test.gd::inactive,output/3d/reservation-coverage.json,strong,catalogued_strong,与 advanced.inactive 完全同一后继（仅 kind 不同）→ 属重复登记。未出发时玩家不在酒馆、无法打开服务面板 → 不可达
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,拒绝守卫：expected 不匹配 或 item 不在背包 → '背包中没有对应物品',Godot/three_d/rules/advanced_services.gd:7-9,rejected,no,advanced.unowned,Godot/three_d/tests/advanced_coverage_test.gd::unowned,output/3d/advanced-coverage.json,strong,catalogued_strong,advanced.mismatch（item 传错）与 reservation.wrong_item 同一复合守卫；reserve 会跳过 `item not in inventory` 子句（kind!=reserve 短路） | player_reachable 口径：仅当存在玩家输入路径使该分支体执行（含 UI 刷新时为每个动作计算 reason）才记 yes；服务/搜索面板会把 reason 非空的动作按钮设为 disabled（services_hud.gd:52），故凡“UI 已预先拦截”的拒绝守卫记 no。
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派；run.gd:259-260）,4,拒绝守卫：item≠该 kind 期望物品（expected 映射）→ '背包中没有对应物品'（与 advanced.unowned 同一行，仅触发子条件不同）,Godot/three_d/rules/advanced_services.gd:7-9,rejected,no,advanced.mismatch,Godot/three_d/tests/advanced_coverage_test.gd::mismatch,output/3d/advanced-coverage.json,strong,catalogued_strong,service_view 为每个 kind 只配发正确物品（run.gd:387-401）→ 玩家无法构造 item/kind 不匹配。目录声明 source 正确；但 entry 写的 'service_action' 在 advanced_services.gd 中不存在（该文件只有 reason/apply），实际入口是 run.gd::service_action→service_reason
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派；run.gd:259-260）,4,拒绝守卫：item≠期望（reserve 期望 ''）→ '背包中没有对应物品',Godot/three_d/rules/advanced_services.gd:7-9,rejected,no,reservation.wrong_item,Godot/three_d/tests/reservation_coverage_test.gd::wrong_item,output/3d/reservation-coverage.json,strong,catalogued_strong,service_view 对 reserve 恒传 id=''（run.gd:394）→ item 恒等于 expected → 玩家无法构造。与 advanced.mismatch/unowned 同一行
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,阶段守卫：signal/notes 且 table==null → '只能在进行中的牌桌使用',Godot/three_d/rules/advanced_services.gd:11-12,phase_condition,no,advanced.no_table,Godot/three_d/tests/advanced_coverage_test.gd::no_table,output/3d/advanced-coverage.json,strong,catalogued_strong,player_reachable=no：table==null 时 service_view 根本不列出 signal/notes 动作（run.gd:397-401 只在 else 分支列出），world.service_action 会因 offered=false 直接返回（world.gd:911-919）。player_reachable 口径：仅当存在玩家输入路径使该分支体执行（含 UI 刷新时为每个动作计算 reason）才记 yes；服务/搜索面板会把 reason 非空的动作按钮设为 disabled（services_hud.gd:52），故凡“UI 已预先拦截”的拒绝守卫记 no。
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,阶段守卫：signal/notes 且 table 存在但 status!='playing'（finished）→ '只能在进行中的牌桌使用',Godot/three_d/rules/advanced_services.gd:11-12,phase_condition,yes,advanced.finished,Godot/three_d/tests/advanced_coverage_test.gd::finished,output/3d/advanced-coverage.json,strong,catalogued_strong,player_reachable=yes：落座且牌桌已 finished 时按 B 打开服务面板（world.gd:879-899 不检查 seated），service_view 仍列出 signal/notes（不检查 status），service_reason 遂执行本守卫。测试用直接置 status 的夹具覆盖同一守卫。
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派，run.gd:259-260）,4,拒绝守卫：signal/notes 目标无效（actor 空=advanced.target_unknown / 'player'=advanced.target_player / signal 遇 folded=advanced.target_folded）→ '请选一位有效对手',Godot/three_d/rules/advanced_services.gd:14-15,rejected,yes,advanced.target_unknown,Godot/three_d/tests/advanced_coverage_test.gd::target_unknown,output/3d/advanced-coverage.json,strong,catalogued_strong,三个目录 ID 共用一条复合 or：target_unknown / target_player 的目标不会被 service_view 列出（目标取自 players.slice(1)）→ 仅旁路可达；target_folded 可达（service_view 不过滤 folded，玩家可对已弃牌对手点 signal）。player_reachable 口径：仅当存在玩家输入路径使该分支体执行（含 UI 刷新时为每个动作计算 reason）才记 yes；服务/搜索面板会把 reason 非空的动作按钮设为 disabled（services_hud.gd:52），故凡“UI 已预先拦截”的拒绝守卫记 no。
advanced_services,Godot/three_d/rules/advanced_services.gd,reason（由 Run.service_reason 分派；run.gd:259-260）,4,拒绝守卫：signal 且目标对手已 folded → '请选一位有效对手',Godot/three_d/rules/advanced_services.gd:14-15,rejected,yes,advanced.target_folded,Godot/three_d/tests/advanced_coverage_test.gd::target_folded,output/3d/advanced-coverage.json,strong,catalogued_strong,service_view 不按 folded 过滤对手（run.gd:398-401 枚举 players.slice(1)）→ 折叠对手仍在动作列表中以禁用态呈现 reason，玩家可见此守卫
