序号,类别,item_id,中文名,现有源文件,可复用部件,制作起点,运行加载点,货架实物,拿取动作,背包展示,消耗_失去_抵押,参考图,尚缺表现,Phase3顺序,依赖,证据(文件:行)
1,物品-可用,marked-lens,Marked Lens,"assets/blender/tavern-detail/build_props.py:36-37（group(""marked-lens"") 构件块）",Lens rim、Smoked lens(enamel)、Folded handle(dark)、Handle hinge（共 4 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，1528 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜run.gd:309-317 shop_stock() 驱动；bar_display.gd:24-37 逐件生成实物 + Label3D 名称/价格｜content.shops 基础配置候选位 8 个：smoky-den#1、smoky-den#4、high-rise-suite#1、high-rise-suite#4、rooftop-club#1、rooftop-club#4、neon-poker-club#1、neon-poker-club#4｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜world.gd:873-880 购买后 bar_display.deliver(id) + characters.deliver() 递物动画,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,消耗｜run.gd:360-362 inventory.erase + used_tools.append；run.gd:363 heat+1；run.gd:274-275 每桌一次,无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；使用时无 3D 反馈（牌面变化发生在牌桌 UI）；无「已使用」视觉状态,3,背包展示形式（图标 or 3D）需先定,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:36-37｜Godot/three_d/scripts/world.gd:978-983｜Godot/three_d/scripts/bar_display.gd:24-37,52-56｜Godot/three_d/tests/art_integration_test.gd:24-28｜Godot/three_d/tests/tool_coverage_test.gd:12-21"
2,物品-可用,signal-lighter,Signal Lighter,"assets/blender/tavern-detail/build_props.py:38-39（group(""signal-lighter"") 构件块）",Lighter case、Hinged lid、Lid seam(dark)、Flint wheel(dark)、铭文 N（共 5 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，548 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜9 个基础配置候选位（4 店 × 搜索档 #2/#3/#5）｜content.shops 基础配置候选位 9 个：smoky-den#2、smoky-den#3、smoky-den#5、high-rise-suite#2、high-rise-suite#5、rooftop-club#2、rooftop-club#5、neon-poker-club#2、neon-poker-club#5｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,消耗｜advanced_services.gd:75-79 inventory.erase + used_tools；heat 字段为 0（run.gd:9 表内 heat=0）,无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；读牌力结果只有文字（advanced_services.gd:74「强/中/弱」），打火机本身无表现,3,同 marked-lens；牌力读数视觉化若要加需主 Agent 判断,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:38-39｜Godot/three_d/rules/advanced_services.gd:10-20,67-79｜Godot/three_d/tests/signal_coverage_test.gd:20-47｜Godot/three_d/tests/routes_items_test.gd:77"
3,物品-可用,player-notes,Player Notes,"assets/blender/tavern-detail/build_props.py:48-52（group(""player-notes"") 构件块）",Paper block、Leather cover×2、Book spine、铭文 NOTES/NOIR、Foil rule×2（共 7 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，2560 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜20 个基础配置候选位（4 店 × 全部 5 个搜索档，唯一全档入选候选道具）｜content.shops 基础配置候选位 20 个：smoky-den#1、smoky-den#2、smoky-den#3、smoky-den#4、smoky-den#5、high-rise-suite#1、high-rise-suite#2、high-rise-suite#3、high-rise-suite#4、high-rise-suite#5、rooftop-club#1、rooftop-club#2、rooftop-club#3、rooftop-club#4、rooftop-club#5、neon-poker-club#1、neon-poker-club#2、neon-poker-club#3、neon-poker-club#4、neon-poker-club#5｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,消耗｜advanced_services.gd:75-79 使用后 inventory.erase + used_tools；同一对手重复记录被拒（:18-19）,无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；对手风格只有文字（advanced_services.gd:66），笔记没有写在书页上的表现,3,同 marked-lens；对手风格视觉化的承载方式未定,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:48-52｜Godot/three_d/rules/advanced_services.gd:18-19,64-66｜Godot/three_d/tests/redundant_intel_test.gd:26-33｜Godot/three_d/tests/routes_items_test.gd:74-75"
4,物品-可用,steadying-drink,Steadying Drink,"assets/blender/tavern-detail/build_props.py:61-62（group(""steadying-drink"") 构件块）",Bottle body、Bottle neck、Cork(walnut)、Bottle shoulder、Paper label、铭文 TONIC（共 6 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，2048 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜9 个基础配置候选位（smoky-den/high-rise-suite/rooftop-club 的 #1/#2/#4，neon #1）｜content.shops 基础配置候选位 9 个：smoky-den#1、smoky-den#2、smoky-den#4、high-rise-suite#1、high-rise-suite#2、rooftop-club#1、rooftop-club#2、rooftop-club#4、neon-poker-club#1｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,"消耗｜run.gd:340 drink 时 inventory.erase(""steadying-drink"")；run.gd:298-299 背包内必须有",无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；「喝掉」只有 HUD 文本（run.gd:345），瓶子不会从货架减少到手上的可见过程,3,同 marked-lens；酒保递物动画已复用（characters.gd:57-59）,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:61-62｜Godot/three_d/rules/run.gd:295-301,338-345｜Godot/three_d/tests/service_coverage_test.gd:10-38"
5,物品-可用,disposable-phone,Disposable Phone,"assets/blender/tavern-detail/build_props.py:43-47（group(""disposable-phone"") 构件块）",Phone shell(dark)、Display(enamel)、屏幕文本 01:49、Key×12、Antenna(dark)（共 16 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，4120 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜9 个基础配置候选位（4 店 × #3/#5）+ run.gd:314-316 在 search_index==2 强制补货｜content.shops 基础配置候选位 9 个：smoky-den#3、smoky-den#5、high-rise-suite#3、high-rise-suite#5、rooftop-club#3、rooftop-club#5、neon-poker-club#1、neon-poker-club#3、neon-poker-club#5｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,消耗｜advanced_services.gd:75-76 每次使用 inventory.erase（无 used_tools，故可多买多用）,无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；手机屏幕为静态贴图文本（build_props.py:44），不随接应路线刷新而变化,3,同 marked-lens；若要屏幕动态化需重导 GLB（本轮不做）,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:43-47｜Godot/three_d/rules/run.gd:314-316｜Godot/three_d/rules/advanced_services.gd:55-63,75-76｜Godot/three_d/tests/routes_items_test.gd:65-68,87"
6,物品-可用,kitchen-pass,Kitchen Pass,"assets/blender/tavern-detail/build_props.py:53-54（group(""kitchen-pass"") 构件块）",Pass card、Printed band(enamel)、文本 KITCHEN、文本 ADMIT ONE、Eyelet（共 5 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，2428 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜6 个基础配置候选位（smoky-den #1/#3、high-rise-suite #3、rooftop-club #1/#3、neon #3）｜content.shops 基础配置候选位 6 个：smoky-den#1、smoky-den#3、high-rise-suite#3、rooftop-club#1、rooftop-club#3、neon-poker-club#3｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,"消耗｜advanced_services.gd:52-54,76 揭示 unlockRoute 后 inventory.erase（一次性）",无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；通行证与 dock-passkey 除铭文外完全同构，卡面差异只有一行字（build_props.py:53-54）,3,同 marked-lens；两张证件是否需要更强区分度属主 Agent 判断,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:53-54｜Godot/three_d/rules/advanced_services.gd:38-43,52-54｜Godot/three_d/tests/routes_items_test.gd:37,114-116｜Godot/three_d/tests/scene_rules_test.gd:48"
7,物品-可用,dock-passkey,Dock Passkey,"assets/blender/tavern-detail/build_props.py:53-54（group(""dock-passkey"") 构件块）",与 kitchen-pass 同构五件构件，铭文换为 DOCK,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，2864 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜6 个基础配置候选位（smoky-den #2/#4、high-rise-suite #2、rooftop-club #2、neon #2/#4）｜content.shops 基础配置候选位 6 个：smoky-den#2、smoky-den#4、high-rise-suite#2、rooftop-club#2、neon-poker-club#2、neon-poker-club#4｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,"消耗｜advanced_services.gd:52-54,76 揭示 river-launch 后 inventory.erase（一次性）",无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,同 kitchen-pass：与后厨通行证同构，仅铭文不同；无背包图标,3,同 kitchen-pass,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:53-54｜Godot/three_d/rules/advanced_services.gd:38-43,52-54｜Godot/three_d/tests/advanced_coverage_test.gd:16-17｜Godot/three_d/tests/scene_rules_test.gd:48"
8,物品-可用,false-bottom-wallet,False-Bottom Wallet,"assets/blender/tavern-detail/build_props.py:55-60（group(""false-bottom-wallet"") 构件块）",Leather fold×2、Fold seam、Saddle stitch×18、铭文 N（共 22 件构件，构件数最多）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，816 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜仅 4 个基础配置候选位（smoky-den #2、high-rise-suite #1/#4、neon #2），覆盖率最低｜content.shops 基础配置候选位 4 个：smoky-den#2、high-rise-suite#1、high-rise-suite#4、neon-poker-club#2｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,"不消耗｜被动效果，全程留在背包；仅 run.gd:461 abandon 时结算 mini(80, cash)，随后随 run.gd:466 inventory.clear() 一并消失",无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；被动效果没有任何提示（背包文案不标注「宽松失败保留 80」）,3,同 marked-lens；被动效果说明是否写进背包文案属主 Agent 判断,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:55-60｜Godot/three_d/rules/run.gd:458-469｜Godot/three_d/tests/routes_items_test.gd:82,101｜Godot/three_d/tests/lifecycle_coverage_test.gd:66"
9,物品-可用,sleeve-clip,Sleeve Clip,"assets/blender/tavern-detail/build_props.py:40-42（group(""sleeve-clip"") 构件块）",Clip side×2、Clip bridge、Inner tongue、Spring（共 5 件构件）,已有完整模型｜interactive-props.glb 内的独立命名节点，可直接改材质/比例/贴图,Godot/three_d/scripts/world.gd:978-983 make_detailed_prop()；world.gd:11 PROPS_ASSET 指向 interactive-props.glb（12 个命名节点，1136 三角面）；货架交互锚点见 Godot/three_d/scripts/bar_display.gd:37（ShelfItem）,有｜16 个基础配置候选位（4 店 × 搜索档 #2/#3/#4/#5，覆盖最广）｜content.shops 基础配置候选位 16 个：smoky-den#2、smoky-den#3、smoky-den#4、smoky-den#5、high-rise-suite#2、high-rise-suite#3、high-rise-suite#4、high-rise-suite#5、rooftop-club#2、rooftop-club#3、rooftop-club#4、rooftop-club#5、neon-poker-club#2、neon-poker-club#3、neon-poker-club#4、neon-poker-club#5｜**实架以种子计划为准**：run_variants.gd:16-18 正种子下从非必需候选中删 1 件（ESSENTIALS 三件永不被删）；run.gd:310-311 shop_stock() 有 variant_plan 时优先返回 plan.shelves,有｜同 marked-lens（world.gd:873-880）,仅文字｜Godot/three_d/scripts/services_hud.gd:45「我的背包 n/6 格」+ run.gd:440-442 bag 名称串；全文件无 TextureRect/Sprite，无图标、无 3D 展示,消耗｜run.gd:360-362 inventory.erase + used_tools；run.gd:363 heat+2（heat 字段同为 2）；run.gd:278-279 仅翻牌前首次行动前可用,无逐件参考图｜assets/blender/tavern-detail/build_props.py 全文不含 .png、不含「参考」、不含词边界上的 reference（脚本不读任何图片文件）；作者在 assets/blender/tavern-detail/README.md:3 声明「根据现有藏匿点、烟雾酒馆和酒保交易参考图手工编写 Blender 建模脚本，不使用 image2.5 或新增 AI 参考图」——即 9 件可用道具只有整体场景板作依据，没有逐件设计图｜是否补逐件参考图需主 Agent 判断（用户尚未批准生图）,无背包图标；换牌结果只在牌桌手牌区体现，袖夹本身无表现,3,同 marked-lens,"assets/blender/tavern-detail/build_props.py｜Godot/three_d/assets/props-export.json｜assets/blender/tavern-detail/build_props.py:40-42｜Godot/three_d/rules/run.gd:276-280,353-363｜Godot/three_d/tests/services_save_test.gd:66｜Godot/three_d/tests/tool_coverage_test.gd:12-21"
10,物品-贵重,old-silver-lighter,Old Silver Lighter,无 old-silver-lighter.glb / 无 old-silver-lighter.blend（全项目 25 个模型文件无一以本 id 命名，清单见 README 表 1-3）｜可打开核对的对应物：assets/blender/stash-noir/build_scene.py:145-163（装饰层）、Godot/three_d/assets/props-export.json（12 键，不含贵重物）｜无（金库装饰组 05 只有 Silver cigarette case / Pearl necklace / Pocket watch 三类，本件在装饰层也没有同名物件）,仅材质库复用（Aged brass / Polished gold edges / Tarnished silver / Charcoal，build_scene.py:35-43）；无独立构件｜同族参考：可用道具 signal-lighter（build_props.py:38-39，548 tri）已是打火机形制，换材质即可近似,B｜无同名，有同族基底：可用道具 signal-lighter（打火机）,不适用（无实例化路径：Godot/three_d/scripts/world.gd:978-983 make_detailed_prop() 只按 interactive-props.glb 的 12 个命名节点取件，10 件贵重物均不在其中）,不上架｜**购买入口**（run.gd:286 buy 分支）要求 item_id in SUPPORTED_ITEMS（仅 9 件）；注意这不等于贵重物进不了背包——run.gd:203-204 settle_table() 会把桌奖贵重物 inventory.append,不适用（无实物拿取动作）｜货运桌奖励（非首选档）｜run.gd:199 stack<90 且背包已有 ivory-chip 时发放；另可由货运桌搜索事件直接取得 search_events.gd:4,仅文字｜services_hud.gd:45 与 run.gd:440-442 bag 串（item_name）；无图标、无模型；抵押选择只在牌桌 HUD 下拉里出现（table_hud.gd:140-149）,抵押｜run.gd:165-173 仅 allowCollateral 桌（mirror-hall/embers-table）可抵押 1 件，进入时移出背包；run.gd:191-194 末手获胜才归还，否则 run.gd:212 判定失去。出售｜run.gd:334-337 + run.gd:447-449 sale_value() 按 value 计价。失去｜run.gd:241 extract / run.gd:466 abandon 时 inventory.clear() 全清,无参考图｜作者源可查的参考图只有 assets/blender/stash-noir/README.md:3 的「皮箱／木桌参考图」，10 件贵重物里没有任何一件有对应参考图｜是否补参考图需主 Agent 判断（用户尚未批准生图）,无独立可拾取模型、无背包图标；同族道具只提供形制与比例参照（材质/面值/内嵌色），可拾取模型仍需重建，细节与体积**未核实**,2,需先定「贵重物是否做独立模型」与「体积差异是否只做占 2 格的 3 件」；两项均为产品判断，需主 Agent 定,"Godot/three_d/assets/props-export.json（12 键，无贵重物）｜assets/blender/stash-noir/build_scene.py:145-163｜Godot/three_d/rules/run.gd:165-212,241,254-258,334-337,447-449｜Godot/three_d/scripts/table_hud.gd:140-149｜Godot/three_d/tests/payout_coverage_test.gd｜Godot/three_d/tests/extraction_conservation_test.gd｜Godot/three_d/tests/entry_coverage_test.gd:25"
