family,source_entry,source_file,source_line,source_anchor,precondition,action,result,postcondition,existing_catalog_id,existing_test,evidence_status,evidence_path,notes
capture,world.gd::checkpoint_state(),Godot/three_d/scripts/world.gd,947,func checkpoint_state() -> Dictionary,世界场景已就绪（任意房间/在座/未在座）,调用 checkpoint_state(),"accepted：返回 {run,room,player,look,seated,return,caseOpen,props}",run=RunCheckpoint.capture(run_game)；props=props.states.duplicate()；键名经源码内容核对,,world_restore_atomic_test.gd; four_tables_test.gd; services_save_test.gd; world_coverage_test.gd,有测试但未登记,output/external-handoff/A5/existing-world_restore_atomic_test.log,键名为 room/player/look/seated/return/caseOpen/props，逐字核对而非照抄
capture,run_checkpoint.gd::capture(),Godot/three_d/rules/run_checkpoint.gd,6,static func capture(run: RefCounted) -> Dictionary:,run 已构造,RunCheckpoint.capture(run),accepted：31 个 FIELDS 深拷贝 + table=TableCheckpoint.capture(run.table),table 为空时写 {}；duplicate(true) 隔离,persistence_capture.run_snapshot_isolated,persistence_capture_coverage_test.gd,已登记且有后继状态证据,output/3d/persistence-capture-coverage.json,capture 语义结果，未被任何 persistence_* ID 登记；当前正式 capture 隔离套件覆盖该快照后继。
capture,table_checkpoint.gd::capture(),Godot/three_d/rules/table_checkpoint.gd,5,static func capture(table: RefCounted) -> Dictionary:,牌桌存在,TableCheckpoint.capture(table),"accepted：{state,revision,rngValue}",rngValue=table.rng.value，是 RNG 重放的关键字段,persistence_capture.table_snapshot_isolated,persistence_capture_coverage_test.gd,已登记且有后继状态证据,output/3d/persistence-capture-coverage.json,rngValue 是后续重放能否成立的核心载体；当前正式 capture 隔离套件覆盖该牌桌快照后继。
write,save_store.gd::write_checkpoint(),Godot/three_d/rules/save_store.gd,5,"static func write_checkpoint(path: String, state: Dictionary) -> Error",目标路径不存在或可写,"write_checkpoint(path,state) 首次写入",accepted：返回 OK,"落盘 envelope{version,digest,payload}；FileAccess.file_exists(path) 为真；无 .tmp 残留",persistence_io.write_new,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log; output/external-handoff/A5/probe-save_store.log,A5 探针复核：读回 state 全等且 .tmp 已消失
write,save_store.gd::write_checkpoint(),Godot/three_d/rules/save_store.gd,5,"static func write_checkpoint(path: String, state: Dictionary) -> Error",已存在有效存档,"write_checkpoint(path,新state)",accepted：返回 OK,新内容覆盖旧内容；.tmp 不存在,persistence_io.write_replace,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log; output/external-handoff/A5/probe-save_store.log,原子替换：先写 .tmp，复核 ok 后 rename
write,save_store.gd::write_checkpoint(),Godot/three_d/rules/save_store.gd,19,"if read_checkpoint(temporary).get(""status"") != ""ok"":",.tmp 写入后复核失败（损坏/版本错）,write_checkpoint 复核临时文件,rejected：返回 ERR_FILE_CORRUPT，不 rename,旧存档文件保持不变（不会用坏内容替换可用存档）,,,A5探针新增证据,output/external-handoff/A5/probe-save_store.log,由 save_store.gd:19 静态确认 + save_store_test 的 write_replace 隐含覆盖；无独立负用例
write,world.gd::save_checkpoint(),Godot/three_d/scripts/world.gd,954,if bytes == last_saved:,内存状态与上次保存一致,save_checkpoint(),accepted：若无变化不再写盘；若盘上文件缺失/损坏则重建,有效内存世界状态不变；磁盘快照缺失或损坏后重新写成有效且与内存完全一致的快照,persistence_restore.save_repaired_from_memory,world_restore_atomic_test.gd;services_save_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json;output/3d/regression/20260925-025539/services_save_test.log,现有服务存档测试确认：无变化且磁盘状态有效时可跳过写盘；磁盘文件缺失或损坏时，从有效内存快照重建并核对完整状态。已映射到 world.save_checkpoint 的修复后继。
write,save_store.gd::write_checkpoint(),Godot/three_d/rules/save_store.gd,10,if file == null:,父目录不存在 / 目标为目录（不可写）,"write_checkpoint(path,state)",rejected：返回非 OK（父目录缺失 ERR_FILE_NOT_FOUND=7；目标为目录 FAILED=1）,未写入任何文件，不产生半成品替换,persistence_io.write_open_rejected;persistence_io.write_rename_rejected,save_store_test.gd,已登记且有后继状态证据,output/3d/persistence-io-coverage.json,A5 探针在隔离临时路径取证；无既有测试；分别覆盖临时文件无法创建、原子替换失败且临时文件清理。
write,save_store.gd::write_checkpoint(),Godot/three_d/rules/save_store.gd,6,var bytes := var_to_bytes(state),state 内含 Object 引用（游戏自身状态不含）,"write_checkpoint(path,{node:Node})",错误地接受：返回 OK，读回 status=ok（对象以引用编码，跨进程无意义）,完整序列化对象（var_to_bytes_with_objects）在读取时被拒；但引用形式不被写路径拒绝,,,A5探针新增证据,output/external-handoff/A5/probe-save_store.log,公开入口不可到达（checkpoint_state 无 Object）；一旦传入对象引用会静默接受
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,28,if not FileAccess.file_exists(path):,文件不存在,read_checkpoint(path),missing,不创建文件,persistence_io.read_missing,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log; output/external-handoff/A5/probe-save_store.log,A5 探针复核 file_exists=false
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,27,static func read_checkpoint(path: String) -> Dictionary,写入任意合法 Dictionary,read_checkpoint(path),ok + state 全等,state 与写前一致；含 Vector3/Array 嵌套,persistence_io.read_valid,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log; output/external-handoff/A5/probe-save_store.log,
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,47,"if not payload is PackedByteArray or envelope.get(""digest"")",版本=1、payload 被改且 digest 不重算,read_checkpoint(path),invalid（摘要不匹配）,不返回 state,persistence_io.read_corrupt,save_store_test.gd; services_save_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log; output/external-handoff/A5/probe-save_store.log,services_save_test 另有下游断言：损坏后世界不覆盖原文件、从内存修复
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,44,if stored_version != VERSION:,envelope.version != 1（payload/digest 可合法也可缺失）,read_checkpoint(path),unsupported_version 且返回 version=99,原文件字节逐字节不变；可与摘要损坏 invalid 区分,persistence_io.read_version,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log,2026-09-25 复测：合法未来版本返回独立状态与版本号，原始 envelope 字节逐字节保持不变
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,33,if file.get_length() < 4 or file.get_32() > file.get_length() - 4:,文件被截断 / 长度前缀越界 / 小于 4 字节,read_checkpoint(path),invalid,3 字节短文件与完整档案截断副本均被拒绝且原始字节不变,persistence_io.read_truncated,save_store_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-save_store_test.log,2026-09-25 复测：测试逐字节确认拒绝后文件不变
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,32,"return {""status"": ""unreadable""}",文件存在但不可打开（chmod 000）,read_checkpoint(path),unreadable,区别于 invalid/missing,,,A5探针新增证据,output/external-handoff/A5/probe-save_store.log,"A5 探针用隔离目录 chmod 000 实测可达（chmod_exit=0,status=unreadable）"
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,50,if not state is Dictionary:,payload 解码为非 Dictionary（如 Array）,read_checkpoint(path),invalid,不返回非字典状态,,,A5探针新增证据,output/external-handoff/A5/probe-save_store.log,"A5 探针：payload=var_to_bytes([1,2,3]) 解出 Array → invalid"
read,save_store.gd::read_checkpoint(),Godot/three_d/rules/save_store.gd,49,var state: Variant = bytes_to_var(payload),payload 含完整序列化对象/资源（var_to_bytes_with_objects）,read_checkpoint(path),invalid：bytes_to_var 拒绝解码对象（引擎报 ERR_UNAUTHORIZED→返回 Nil）,不会把序列化对象解回运行态,,,A5探针新增证据,output/external-handoff/A5/probe-save_store.log,注释“Decoding never permits serialized objects”经验证成立（但会打印引擎 ERROR 行）
restore,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,990,func restore_checkpoint(state: Dictionary) -> bool,state 为完整合法 world 快照,restore_checkpoint(state),accepted：true,checkpoint_state() 与恢复前快照全等；相机/座位/UI 复位,persistence_restore.valid,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,断言恢复后 checkpoint_state()==baseline
restore,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,990,func restore_checkpoint(state: Dictionary) -> bool,seated=true 的合法快照,restore_checkpoint,accepted：seated 且 seat_panel 可见,world.seated 与 UI 一致,persistence_restore.seated,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,
restore,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,990,func restore_checkpoint(state: Dictionary) -> bool,当前有活动牌桌可视化（cards_root 有子节点）,恢复为未在座快照,accepted：clear_cards、seat_camera 关闭、crosshair/explore 恢复、checkpoint_state==baseline,活动牌桌被完整替换而非遗留,persistence_restore.replace_live_table,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,
restore,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,990,func restore_checkpoint(state: Dictionary) -> bool,世界处于 paused，快照 seated=true,restore_checkpoint,accepted：paused 保持且 seat_panel 隐藏,resume 后回到座位相机与面板,persistence_restore.paused_seated,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,
restore,world.gd::restore_checkpoint()/load_checkpoint(),Godot/three_d/scripts/world.gd,972,"if loaded.status != ""ok"" or not restore_checkpoint(loaded.state):",save_path 指向损坏文件,load_checkpoint(),rejected：不恢复，保留原文件，saving_enabled=false,A5 探针三向核对：世界状态不变、文件 hash 不变、自动存盘关闭,persistence_restore.corrupt_load_preserved,world_restore_atomic_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json,服务测试只覆盖部分；A5 探针额外核对文件字节未变；正式恢复套件比较损坏文件原字节、完整世界状态，并确认关闭自动存盘。
restore,world.gd::load_checkpoint(),Godot/three_d/scripts/world.gd,969,"if loaded.status == ""missing"":",正式槽位为空档,load_checkpoint(),accepted：saving_enabled=true，不创建文件,随后自动存盘可正常接管,,,A5探针新增证据,output/external-handoff/A5/probe-world_contradiction.log,空档语义；与现有 read_missing 不同层
restore,world.gd::save_checkpoint()/load_checkpoint(),Godot/three_d/scripts/world.gd,951,if playtest_seed > 0: return false,playtest_seed>0（对照试玩）,save_checkpoint()/load_checkpoint(),rejected：提前返回，读写正式槽位被禁用,不写任何文件、不启用 persistence,,playtest_seed_test.gd,有测试但未登记,output/external-handoff/A5/existing-playtest_seed_test.log,load 侧守卫在 :964
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,1003,if not value is bool: return false,props 非 Dictionary 或取值非 bool,restore_checkpoint,rejected,世界状态不变（world_restore_atomic 断言）,persistence_restore.invalid_props,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log; output/external-handoff/A5/probe-world_contradiction.log,"A5 探针补测 props={""lamp"":1} 与 props=""yes"""
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,993,"if not state.player.is_finite() or not state.look.is_finite() or not state[""return""].is_finite():",坐标/视角含 NAN/INF,restore_checkpoint,rejected,世界状态不变,persistence_restore.invalid_transform,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,A5 探针补测 look 非 Vector3、return NAN
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,995,"if not checkpoint_position_valid(state.player.origin, state.room):",坐标超出房间包络 / 房间不符,restore_checkpoint,rejected,世界状态不变,persistence_restore.outside_room,world_restore_atomic_test.gd,已登记且有后继状态证据,output/external-handoff/A5/existing-world_restore_atomic_test.log,"A5 探针补测 room=""attic""、player.x=1e9"
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,1007,"if (state.room == ""stash"") == restored.active or (restored.table != null and not state.seated):",活动局与房间/座位矛盾（active 却在 stash；non-active 却在酒馆；有活动桌却未在座）,restore_checkpoint,rejected（被校验，非修复、非错误接受）,世界状态与快照全等；隔离存档文件字节不变,,,A5探针新增证据,output/external-handoff/A5/probe-world_contradiction.log,重点空白区：room_stash_but_active/active_table_not_seated/seated_in_stash 三例均 rejected 且世界不变
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,1011,"if restored.table != null and restored.table.state.tableDef.id != ROOMS.get(state.room, ROOMS.tavern).table:",活动桌 id 与所在房间应属桌不符（已解锁场景下）,restore_checkpoint,rejected,世界状态不变,,,A5探针新增证据,output/external-handoff/A5/probe-world_contradiction.log,table_id_mismatch：room=ledger 且 completed=[cargo-table] 仍被拒
invalid_data,world.gd::restore_checkpoint(),Godot/three_d/scripts/world.gd,1009,"if state.room != ""stash"" and not restored.room_blocked_reason(ROOMS[state.room].table).is_empty():",目标房间的前置桌未完成（锁定房）,restore_checkpoint,rejected,世界状态不变,persistence_restore.locked_room,world_restore_atomic_test.gd;room_pool_test.gd,已登记且有后继状态证据,output/3d/persistence-restore-coverage.json,room_pool_test 断言“Restore cannot teleport to locked room”；正式恢复套件对锁定房间拒绝并核完整世界快照不变。
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,25,if values.vault < 0 or values.cash < 0 or values.heat < 0 or values.heat > 6,资金/热度/桌面类型越界（vault/cash/heat/table 类型）,RunCheckpoint.restore,rejected（null）,活体 run 不变（run_restore_bounds 断言 bad==before 且 capture 不变）,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,含 bankroll/revision/search_index/action_points（:27/:29）；作为同一畸形 Run 快照拒绝语义的代表输入；其他字段变体复用该 ID。
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,94,for id in values.inventory:,背包含未知物品 / 超格 / 重量超限,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,另测合法满背包与边界 action_points 可恢复
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,45,for id in values.route_flags:,route_flags 含未知路线或非 bool,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,
invalid_data,run_checkpoint.gd::restore(),Godot/three_d/rules/run_checkpoint.gd,36,for id in values.known_rules:,known_rules/used_tools/full_intel/opponent_notes 类型或取值非法,RunCheckpoint.restore,rejected,活体 run 不变,persistence_run.invalid_fields_rejected,run_restore_bounds_test.gd,已登记且有后继状态证据,output/3d/persistence-run-coverage.json,:38 used_tools、:40 full_intel、:43 opponent_notes；opponent_pool_test 另测 actor 顺序矛盾
