module,source_file,entry,function_line,branch_or_guard,source_line,outcome,player_reachable,catalog_id,test,evidence_report,evidence_strength,disposition,notes
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: !player.can_interact(anchor),476-478,rejected,programmatic_only,world.raycast_unfocused,Godot/three_d/tests/world_coverage_test.gd:23,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Direct call with an unfocused anchor; player input handler emits no interaction without a focused target.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: !player.can_interact(anchor),476-478,rejected,programmatic_only,world.raycast_out_of_reach,Godot/three_d/tests/world_coverage_test.gd:38,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Direct call after focus range check clears the target; normal input cannot emit this anchor.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: !player.can_interact(anchor),476-478,rejected,programmatic_only,world.raycast_occluded,Godot/three_d/tests/world_coverage_test.gd:56,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Direct call after the focus ray is blocked; normal input cannot emit this anchor.
World,Godot/three_d/scripts/world.gd,request_action,476,prop: dispatch to SceneProps.interact,479-481,accepted,reachable,world.prop_on,Godot/three_d/tests/world_coverage_test.gd:61,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed",Focused lamp toggles its registered property; Run snapshot remains unchanged.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: action_busy,476-478,rejected,reachable,world.busy_guard,Godot/three_d/tests/world_coverage_test.gd:63,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Repeated interaction during the prop tween is possible while controls remain enabled.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: paused,476-478,rejected,programmatic_only,world.pause_guard,Godot/three_d/tests/world_coverage_test.gd:70,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Test calls request_action while controls are disabled by pause; ordinary player input cannot emit it.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: run/services modal visible,476-478,rejected,programmatic_only,world.modal_guard,Godot/three_d/tests/world_coverage_test.gd:96,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Test directly calls request_action while a modal has disabled player controls.
World,Godot/three_d/scripts/world.gd,request_action,476,sit branch: table_blocked_reason non-empty,530-534,rejected,reachable,world.seat_blocked,Godot/three_d/tests/world_coverage_test.gd:173,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Player can focus the table and attempt sitting before satisfying the table requirements.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action guard: seated,476-478,rejected,programmatic_only,world.seated_world_action_rejected,Godot/three_d/tests/world_coverage_test.gd:198,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Test sets a focused prop and directly invokes request_action while the player controls are disabled by seating.
World,Godot/three_d/scripts/world.gd,request_action,476,room: dispatch; room_blocked_reason empty then travel,491-498,accepted,unproven_by_test_fixture,world.room_graph_entry,Godot/three_d/tests/world_coverage_test.gd:294-297,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed","The test manually appends completed table IDs to unlock destinations; this proves the accepted branch result, not the natural player route to that precondition."
World,Godot/three_d/scripts/world.gd,request_action,476,room: dispatch; room_blocked_reason non-empty,491-496,rejected,reachable,world.room_graph_blocked,Godot/three_d/tests/world_coverage_test.gd:294-296,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Focuses a locked destination and verifies no room/run snapshot change; normal progression can present this lock.
World,Godot/three_d/scripts/world.gd,request_action,476,enter_ledger branch: room_blocked_reason non-empty,517-520,rejected,reachable,world.room_door_blocked,Godot/three_d/tests/world_coverage_test.gd:180-185,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Real door focus is rejected while the cellar requirement is unmet; full checkpoint remains unchanged.
World,Godot/three_d/scripts/world.gd,request_action,476,enter_ledger branch: requirement empty then travel,517-521,accepted,reachable,world.room_door_unlocked,Godot/three_d/tests/world_coverage_test.gd:255-259,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed","After normal game progression unlocks the room, interaction changes current room/landing and preserves Run snapshot."
World,Godot/three_d/scripts/world.gd,request_action,476,back_tavern branch: travel,522-523,accepted,reachable,world.room_door_return,Godot/three_d/tests/world_coverage_test.gd:261-264,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed",Focused return door restores tavern room/title and preserves Run snapshot.
World,Godot/three_d/scripts/world.gd,request_action,476,discover_exit branch,524-529,accepted,reachable,world.discover_exit,Godot/three_d/tests/world_coverage_test.gd:186-190,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed",Player interaction reveals public exit/route and increments Run revision once.
World,Godot/three_d/scripts/world.gd,request_action,476,sit branch: requirements empty,530-544,accepted,reachable,world.seat,Godot/three_d/tests/world_coverage_test.gd:191-195,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed","Focused table enters pregame seating, switches camera and disables exploration controls."
World,Godot/three_d/scripts/world.gd,request_action,476,toggle_case branch; open to closed,499-510,accepted,reachable,world.case_close,Godot/three_d/tests/world_coverage_test.gd:122-126,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed",Focused case interaction closes lid and changes visible prompt; Run snapshot is unchanged.
World,Godot/three_d/scripts/world.gd,request_action,476,toggle_case branch; closed to open,499-510,accepted,reachable,world.case_reopen,Godot/three_d/tests/world_coverage_test.gd:127-130,output/3d/world-coverage.json,state_change,"catalogued; branch mapped, reachability assessed",Focused case interaction reopens lid and changes visible prompt; Run snapshot is unchanged.
World,Godot/three_d/scripts/world.gd,request_action,476,request_action busy guard during another prop tween,476-481,rejected,reachable,world.cross_prop_busy,Godot/three_d/tests/world_coverage_test.gd:131-146,output/3d/world-coverage.json,guard_no_change,"catalogued; branch mapped, reachability assessed",Starts a lamp tween then interacts with the focused window; second prop remains unchanged and world checkpoint is stable.
