"family","source_entry","source_line","source_anchor","precondition","action","result","postcondition","existing_catalog_id","existing_test","evidence_status","evidence_path","notes"
"physical_raycast","player.gd::update_focus","Godot/three_d/scripts/player.gd:62","func update_focus","controls_enabled=true；射线 2.0m 内命中带 prompt() 的 Area3D","update_focus()","accepted：focused=anchor，focus_changed 发出","player.focused==anchor；world.hint_label.text=='E · '+anchor.title","world.focus_acquired","world_coverage_test.gd;spatial_interaction_test.gd;two_tables.gd;routes_items_test.gd","已登记且有后继状态证据","Godot/three_d/scripts/player.gd;Godot/three_d/scripts/world.gd;Godot/three_d/tests/world_coverage_test.gd","所有用真实射线瞄准的测试都隐式依赖该结果；无任何测试单独断言 focus_changed 信号或 hint_label 文本；当前目录复用 world.focus_acquired，不新增分母。"
"physical_raycast","player.gd::update_focus","Godot/three_d/scripts/player.gd:65","has_method(""prompt"")","射线命中 StaticBody3D 或无 prompt() 方法的 Area3D","update_focus()","rejected：focused=null，hint 清空","player.focused==null；hint_label.text==''","(无)","smoke.gd:47-50","有A4探针后继状态证据","Godot/three_d/scripts/player.gd;Godot/three_d/tests/smoke.gd;output/external-handoff/A4/a4-world-probe.log","既有测试证据不足：smoke.gd 只核 request_action 返回 false，未核 focused/hint。本轮探针 raycast_occluded_solid 核对 focused!=anchor 且 checkpoint_state 不变"
"physical_raycast","player.gd::update_focus","Godot/three_d/scripts/player.gd:64","ray.get_collider() if controls_enabled","controls_enabled=false（暂停/入座/弹窗）","update_focus()","rejected：hit 强制为 null -> focused=null","focused==null；不可交互","world.focus_controls_disabled","world_coverage_test.gd:33-39;world_coverage_test.gd:62","已登记且有后继状态证据","Godot/three_d/scripts/player.gd;Godot/three_d/tests/world_coverage_test.gd","该结果与 can_interact 的 controls_enabled 项重合；测试是经由 request_action 观察到的，未单独断言 focused；当前目录复用 world.focus_controls_disabled，不新增分母。"
"physical_raycast","world.gd::request_action","Godot/three_d/scripts/world.gd:477","player.can_interact(anchor)","准星未对准（focused!=anchor）","request_action(anchor)","rejected：返回 false","checkpoint_state 快照完全不变","world.raycast_unfocused","world_coverage_test.gd:22-23","已登记且有后继状态证据","Godot/three_d/scripts/world.gd;Godot/three_d/tests/world_coverage_test.gd","已登记 24 条之一，不重复计入新增分母"
"physical_raycast","world.gd::request_action","Godot/three_d/scripts/world.gd:477","player.can_interact(anchor)","瞄准方向正确但距离 > REACH(2.0)","request_action(anchor)","rejected：返回 false","focused!=anchor；checkpoint_state 快照完全不变","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/player.gd:7;output/external-handoff/A4/a4-world-probe.log","探针 raycast_out_of_reach：dist=3.01m，r=false，快照不变。与 raycast_unfocused 后继等价但前置条件类别不同（按要求分列）"
"physical_raycast","world.gd::request_action","Godot/three_d/scripts/world.gd:477","player.can_interact(anchor)","射线被不可交互实心碰撞体遮挡","request_action(anchor)","rejected：返回 false","focused!=anchor；checkpoint_state 快照完全不变","(无)","smoke.gd:47-50","有A4探针后继状态证据","Godot/three_d/tests/smoke.gd;output/external-handoff/A4/a4-world-probe.log","既有测试证据不足：smoke.gd 只核返回值。探针 raycast_occluded_solid 补齐 focused 与快照断言"
"physical_raycast","interactable.gd::prompt","Godot/three_d/scripts/interactable.gd:9","if enabled else disabled_reason","anchor.enabled=false","prompt() + player.can_interact() + world.request_action()","disabled reason shown; action rejected","hint_label.text==disabled_reason; request_action==false; checkpoint_state unchanged","world.interactable_disabled","world_coverage_test.gd","已登记且有后继状态证据","Godot/three_d/scripts/interactable.gd;Godot/three_d/tests/world_coverage_test.gd","@export 分支本身已实现，旧报告把“无现有实例”误判为源码未实现；新测试通过引擎测试实例设置 disabled 属性覆盖该条件；当前内容没有静态 disabled anchor"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:11","func interact","props.states.lamp==false；动画空闲","request_action(prop:lamp 锚点)","accepted：states.lamp=true，light_energy 补间到 opened(0.0)","states.lamp==true；lamp.light_energy≈0.0；run 快照不变","world.prop_on;world.prop_visual","world_coverage_test.gd:24-32;spatial_interaction_test.gd:44-53","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:25;output/external-handoff/A4/a4-world-probe.log","探针 prop_lamp_forward/visual_open/run_untouched 复核通过"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:11","func interact","props.states.lamp==true；动画空闲","request_action(prop:lamp 锚点)","accepted：states.lamp=false，light_energy 补间回 closed(1.7)","states.lamp==false；lamp.light_energy≈1.7","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/scene_props.gd:13-16;output/external-handoff/A4/a4-world-probe.log","反向（关灯）方向：24 条 world.* 中 prop_* 全为 accepted 正向，反向无任何登记；探针 prop_lamp_reverse 取证"
"prop_interactions","scene_props.gd::interact","Godot/three_d/scripts/scene_props.gd:36","register(id, drawer","props.states.drawerN==false；动画空闲（N=0,1,2）","request_action(prop:drawerN 锚点)","accepted：states=true，drawer.position 补间到 +Z 0.4","states.drawerN==true；position≈opened","world.prop_drawer0","world_coverage_test.gd:44-45;spatial_interaction_test.gd:44-53","已登记且有后继状态证据","Godot/three_d/scripts/scene_props.gd:27-37;output/external-handoff/A4/a4-world-probe.log","覆盖目录只登记 drawer0；drawer1/drawer2 由 spatial_interaction_test.gd 与探针覆盖。抽屉把自身 anchor 一起平移 +Z0.4，反向操作必须重新瞄准"
