素材编号,相对路径,类型,数量,尺寸/时长,画面内容,对应玩法 ID,对应关系状态,当前使用证据,3D 制作参考价值,备注
SP-001,assets/scene-plates/menu-title-bg.png,场景图,1,1408×768,Noir 风格桌面场景：昏暗桌面有雪茄、威士忌、雨夜窗景透霓虹，营造悬疑氛围。,menu,已确认,src/main.js:3922  SCENE_KEYS.menu,构图（桌面静物）、暖色台灯打光、雨夜窗景；适合藏匿点/菜单场景 3D 参考,无
SP-002,assets/scene-plates/tavern-smoky-den-bg.png,场景图,1,1376×768,老西部风格酒馆，烟雾弥漫，琥珀绿灯光，绿色台灯罩、木吧凳、扑克桌、储藏室大门。,tavern-smoky-den,已确认,src/data.js:37 bgImage；src/video_background.js:6 VIDEO_BACKGROUND_FILES,美式复古酒馆氛围、道具（酒瓶、地图、筹码）、绿色台灯打光；强烈 noir 风格,无
SP-003,assets/scene-plates/tavern-high-rise-suite-bg.png,场景图,1,1376×768,豪华高层赌场休息室，落地窗对霓虹城市天际线，琥珀台灯、棕色皮椅、大理石桌面摆筹码和威士忌。,tavern-high-rise-suite,已确认,src/data.js:55 bgImage；src/video_background.js:7 VIDEO_BACKGROUND_FILES,现代奢华室内设计、城市夜景灯光、色调；参考价值高,无
SP-004,assets/scene-plates/tavern-rooftop-club-bg.png,场景图,1,1376×768,现代屋顶露台赌场，黄昏光线，金色夕阳对比蓝色摩天楼，串灯、热带植物、扑克桌、 cocktail 酒。,tavern-rooftop-club,已确认,src/data.js:73 bgImage；src/video_background.js:8 VIDEO_BACKGROUND_FILES,露天场景空间感、黄昏色彩、装饰性灯光（串灯）；适合屋顶撤离路线,无
SP-005,assets/scene-plates/tavern-neon-poker-club-bg.png,场景图,1,1376×768,赛博朋克高科技赌博场所，霓虹粉青色光、全息扑克桌、暗黑金属表面、科幻保险库。,tavern-neon-poker-club,已确认,src/data.js:91 bgImage；src/video_background.js:9 VIDEO_BACKGROUND_FILES,强风格化 neon 配色、全息/科幻道具；适合科幻酒馆或数字化身,无
SP-006,assets/scene-plates/藏匿点场景.png,场景图,1,1376×768,Noir 风格昏暗房间：木桌、打开的皮箱装满现金、扑克筹码、左轮手枪、城市场景地图，台灯暖光照明。,stash,已确认,src/main.js:3923  SCENE_KEYS.stash,场景台灯打光、木桌/皮革质感、道具（纸币、筹码、左轮）；与 stash-noir.blend 对应,无
SP-007,assets/scene-plates/德扑酒馆全貌.png,场景图,1,2816×1536,俯视角度完整展示德扑酒馆室内全貌，含吧台、牌桌、客人、环境细节；分辨率显著高于其他场景图。,search,已确认,src/main.js:3924  SCENE_KEYS.search,超大分辨率适合 3D 场景远景/全局参考；包含所有主要道具和环境布局,分辨率是其他场景图的 4 倍；可能是多合一全景而非独立 3D 参考
SP-008,assets/scene-plates/德扑牌桌视角.png,场景图,1,2816×1536,德扑牌桌近景视角，含牌桌、筹码、荷官区域、周围环境；与全貌为同一系列但取景角度不同。,table,已确认,src/main.js:3925  SCENE_KEYS.table,高分辨率牌桌细节参考（筹码排列、牌桌布料）；构图可参考入座后视角,与 德扑酒馆全貌 同为 2816×1536；应为同一拍摄/生成系列
SP-009,assets/scene-plates/德扑撤离视角.png,场景图,1,2816×1536, Noir 男性角色戴Fedora和风衣手持钱袋，从赌场服务门逃离，警车逼近，湿鹅卵石巷，蓝色阴沉调。,summary,已确认,src/main.js:3926  SCENE_KEYS.summary,撤离动画参考：人物姿态、雨夜巷道、警车灯光；noir 风格服装道具,分辨率 2816×1536
SP-010,assets/scene-plates/酒馆酒保交易视角.png,场景图,1,2816×1536,第一人称视角看与酒保进行交易的场景台面；含现金、筹码和游戏道具。,未发现直接引用,待确认,src/ 未发现直接引用；可能在 scenes/extraction/ 或特定对话流程中引用,台面道具布局（现金/筹码）可参考交易 UI 设计；高分辨率,未发现 src/ 引用；可能为旧 UI 弹窗原型；分辨率 2816×1536
SP-011,assets/scene-plates/酒馆厨房撤离视角.png,场景图,1,1584×672,从昏暗门口看湿鹅卵石街道、煤气灯、小亭、雾中城市天际线；与 route-general-bg 视觉相关。,未发现直接引用,待确认,src/ 未发现直接引用；与 route-general-bg 视觉高度相似，可能是旧命名或替代版本,尺寸 1584×672 与 route 系列一致；可能属于路线场景,未发现 src/ 引用；视觉相似 route-general-bg；可能为旧命名或路线替代版本
SP-012,assets/scene-plates/案件夹弹窗.png,场景图,1,1376×768,第一人称视角的空白交互笔记本作为全屏 UI 覆盖层，前景有左轮手枪和报纸，窗外霓虹雨夜。,未发现直接引用,待确认,src/ 未发现直接引用；UI 性质明显，可能在调查/案件流程中使用,UI 设计风格参考（笔记本 UI）、桌上道具（枪/报纸）摆放,未发现 src/ 引用；UI 弹窗性质；可能是旧调查/案件流程原型
SP-013,assets/scene-plates/个人资产弹窗.png,场景图,1,1408×768,打开的皮革公文包放在木桌上，内有现金、筹码、贵重物（怀表、银酒壶），Noir 电影质感，台灯照明。,未发现直接引用,待确认,src/ 未发现直接引用；UI 性质（弹窗），可能在资产展示/结算流程中使用,道具种类（贵重物品类型）可指导 3D 资产清单；台灯打光方式,未发现 src/ 引用；UI 弹窗性质；可能为旧资产展示原型；可参考贵重物造型（怀表、银酒壶）
SP-014,"assets/scene-plates/tavern-smoky-den-route-kitchen-backlift-bg.png, assets/scene-plates/tavern-smoky-den-route-old-friend-bg.png, assets/scene-plates/tavern-smoky-den-route-tunnel-bg.png, assets/scene-plates/tavern-smoky-den-route-vip-elevator-bg.png",路线画面,4,1376×768 各图,smoky-den 四条路线图：厨房后梯、故交通道、隧道、VIP 电梯；风格一致，色调偏暖复古。,specialRoutes (smoky-den),推测,src/data.js:585 specialRoutes；文件名含 tavern-smoky-den-route- 前缀；未在代码中直接绑定图片路径,4 条路线各自独特的场景道具/灯光（电梯 Art Deco 金色、隧道暗色、厨房工业）；对应 4 种撤离条件,文件名规则与 data.js specialRoutes 键名一致
SP-015,"assets/scene-plates/tavern-high-rise-suite-route-basement-bg.png, assets/scene-plates/tavern-high-rise-suite-route-fake-id-bg.png, assets/scene-plates/tavern-high-rise-suite-route-heliport-bg.png, assets/scene-plates/tavern-high-rise-suite-route-service-elevator-bg.png",路线画面,4,1376×768 各图,high-rise-suite 四条路线图：地下室、假证件、直升机坪、服务电梯；城市天际线夜景为主。,specialRoutes (high-rise-suite),推测,src/data.js:623 specialRoutes；文件名含 tavern-high-rise-suite-route- 前缀,直升机坪（heliport）含真实直升机模型参考；服务电梯适合室内狭窄空间制作,无
SP-016,"assets/scene-plates/tavern-rooftop-club-route-emergency-exit-bg.png, assets/scene-plates/tavern-rooftop-club-route-parachute-bg.png, assets/scene-plates/tavern-rooftop-club-route-staff-door-bg.png, assets/scene-plates/tavern-rooftop-club-route-valet-bg.png",路线画面,4,1376×768 各图,rooftop-club 四条路线图：紧急出口、跳伞、员工门、代客泊车；黄昏城市天际线为主。,specialRoutes (rooftop-club),推测,src/data.js:661 specialRoutes；文件名含 tavern-rooftop-club-route- 前缀,跳伞场景含跳伞者/降落伞；代客泊车含轿车；适合极限运动/豪车道具,无
SP-017,"assets/scene-plates/tavern-neon-poker-club-route-data-node-bg.png, assets/scene-plates/tavern-neon-poker-club-route-hack-door-bg.png, assets/scene-plates/tavern-neon-poker-club-route-neural-jammer-bg.png, assets/scene-plates/tavern-neon-poker-club-route-quantum-portal-bg.png",路线画面,4,1376×768 各图,neon-poker-club 四条路线图：数据中心、黑客门、神经干扰器、量子传送门；赛博朋克科幻风格。,specialRoutes (neon-poker-club),推测,src/data.js:699 specialRoutes；文件名含 tavern-neon-poker-club-route- 前缀,量子传送门（cyan 全息效果）、神经干扰器、数据节点；强科幻道具可作为 3D 材质参考,无
SP-018,assets/scene-plates/route-general-bg.png,路线画面,1,1584×672,从室内门口望向雨夜鹅卵石街道、煤气灯、雾中摩天楼剪影，冷蓝色调，noir 风格。,通用撤离,推测,未在 data.js specialRoutes 中明确绑定；可能用于无专属路线时的 fallback,通用巷道场景；与 route-fixed-bg 视觉相似但色调不同,无
SP-019,assets/scene-plates/route-fixed-bg.png,路线画面,1,1458×720,雨夜巷道，警车红蓝闪光、两人剪影在远处、搬运箱和垃圾桶，湿鹅卵石，蓝色调。,通用撤离,推测,未在 data.js specialRoutes 中明确绑定；与 route-general-bg 功能和命名相近,通用巷道场景；含警车灯光效果、人物剪影；可参考执法/追逐氛围,无
SP-020,assets/scene-plates/route-dropbag-cash-bg.png,路线画面,1,1600×529,雨夜巷道，红色警示灯和远处警车灯光闪烁，湿鹅卵石、消防栓、木箱、垃圾箱，紧张追逐氛围。,通用撤离（舍弃现金分支）,推测,未在代码中明确绑定；命名含 dropbag-cash；可能用于"舍弃现金"结算画面,红色警示灯打光效果、巷道道具（箱、桶）；适合危险场景氛围,无
SP-021,assets/scene-plates/route-dropbag-valuables-bg.png,路线画面,1,1600×529,夜色中人物（Fedora+风衣）跳越巷道怀抱箱子，蓝黑色调，film noir 风格，背光强烈。,通用撤离（舍弃贵重物分支）,推测,未在代码中明确绑定；命名含 dropbag-valuables；可能用于"舍弃贵重物"结算画面,人物跳跃姿态、怀中物体（贵重物）；noir 服装风格参考,无
VD-001,assets/videos/menu-title-bg.mp4,视频,1,"1280×720, 约5秒",与 menu-title-bg.png 相同桌面场景的循环视频；无声，仅 ambient 桌面动作。,menu,已确认,src/video_background.js:4 VIDEO_BACKGROUND_FILES.menu；manifest.json:14 files.menu,菜单场景视频参考；无音频，BGM 单独处理,"manifest.json:enabled=true, available 包含 menu"
VD-002,assets/videos/stash-loop.mp4,视频,1,"1284×716, 约5秒",与藏匿点场景一致的循环视频，含台灯闪烁、窗外霓虹；无声循环。,stash,已确认,src/video_background.js:5 VIDEO_BACKGROUND_FILES.stash；manifest.json:15 files.stash,藏匿点 ambient 动画；烟/光效可指导粒子系统,"manifest.json:enabled=true, available 包含 stash；README.md 记录了 stash-loop 为推荐文件名"
VD-003,assets/videos/tavern-smoky-den-bg.mp4,视频,1,"1280×720, 约5秒",烟雾弥漫的老西部酒馆 ambient 循环视频；含台灯光斑、烟雾飘动。,tavern-smoky-den,已确认,src/video_background.js:6 VIDEO_BACKGROUND_FILES；manifest.json:16 files.tavern-smoky-den,酒馆环境光照/烟雾动画参考；无音频,"manifest.json:enabled=true, available 包含 tavern-smoky-den"
VD-004,assets/videos/tavern-high-rise-suite-bg.mp4,视频,1,"1280×720, 约5秒",高层酒馆城市夜景 ambient 循环；窗外霓虹灯光缓慢变化。,tavern-high-rise-suite,已确认,src/video_background.js:7 VIDEO_BACKGROUND_FILES；manifest.json:17 files.tavern-high-rise-suite,城市灯光变化动画；可参考窗外环境打光,"manifest.json:enabled=true, available 包含 tavern-high-rise-suite"
VD-005,assets/videos/tavern-rooftop-club-bg.mp4,视频,1,"1284×716, 约4秒",屋顶赌场黄昏 ambient 循环；串灯闪烁、城市灯光渐亮。,tavern-rooftop-club,已确认,src/video_background.js:8 VIDEO_BACKGROUND_FILES；manifest.json:18 files.tavern-rooftop-club,黄昏到夜晚过渡灯光；串灯效果,"manifest.json:enabled=true, available 包含 tavern-rooftop-club；时长 4s 略短于其他（5s）"
VD-006,assets/videos/tavern-neon-poker-club-bg.mp4,视频,1,"1280×720, 约5秒",赛博朋克酒馆 neon 光效 ambient 循环；粉青色霓虹闪烁。,tavern-neon-poker-club,已确认,src/video_background.js:9 VIDEO_BACKGROUND_FILES；manifest.json:19 files.tavern-neon-poker-club,neon 光效动画参考；适合发光材质/光晕 shader,"manifest.json:enabled=true, available 包含 tavern-neon-poker-club"
VD-007,assets/videos/extraction-success.mp4,视频,1,"1584×672, 约5秒",撤离成功演出视频（5秒循环）；分辨率高于其他视频。,extraction-success,已确认,src/video_background.js:14 VIDEO_BACKGROUND_FILES；manifest.json:20 files.extraction-success,撤离成功视觉特效参考；时长与 extraction-failure 一致,"manifest.json:enabled=true, available 包含 extraction-success；尺寸 1584×672 高于其他视频"
VD-008,assets/videos/extraction-failure.mp4,视频,1,"1584×672, 约5秒",撤离失败演出视频（5秒循环）；分辨率与 success 一致。,extraction-failure,已确认,src/video_background.js:15 VIDEO_BACKGROUND_FILES；manifest.json:21 files.extraction-failure,撤离失败视觉特效参考；与 success 成对使用,"manifest.json:enabled=true, available 包含 extraction-failure；尺寸 1584×672"
