opponent,slice,samples,fold,check,call,raise,all-in,fold_rate,check_rate,call_rate,raise_rate,all-in_rate
ash-smuggler,all,87,35,16,27,9,0,0.402299,0.183908,0.310345,0.103448,0.000000
calm-widow,all,87,33,7,22,22,3,0.379310,0.080460,0.252874,0.252874,0.034483
dock-braggart,all,87,22,13,34,15,3,0.252874,0.149425,0.390805,0.172414,0.034483
house-viper,all,87,36,17,26,5,3,0.413793,0.195402,0.298851,0.057471,0.034483
ledger-clerk,all,87,40,20,25,2,0,0.459770,0.229885,0.287356,0.022989,0.000000
river-shark,all,87,35,17,30,5,0,0.402299,0.195402,0.344828,0.057471,0.000000
smiling-knife,all,87,31,13,27,12,4,0.356322,0.149425,0.310345,0.137931,0.045977
velvet-rook,all,87,17,20,48,2,0,0.195402,0.229885,0.551724,0.022989,0.000000
ash-smuggler,player_raises>=2,87,35,16,27,9,0,0.402299,0.183908,0.310345,0.103448,0.000000
calm-widow,player_raises>=2,87,33,7,22,22,3,0.379310,0.080460,0.252874,0.252874,0.034483
dock-braggart,player_raises>=2,87,22,13,34,15,3,0.252874,0.149425,0.390805,0.172414,0.034483
house-viper,player_raises>=2,87,36,17,26,5,3,0.413793,0.195402,0.298851,0.057471,0.034483
ledger-clerk,player_raises>=2,87,40,20,25,2,0,0.459770,0.229885,0.287356,0.022989,0.000000
river-shark,player_raises>=2,87,35,17,30,5,0,0.402299,0.195402,0.344828,0.057471,0.000000
smiling-knife,player_raises>=2,87,31,13,27,12,4,0.356322,0.149425,0.310345,0.137931,0.045977
velvet-rook,player_raises>=2,87,17,20,48,2,0,0.195402,0.229885,0.551724,0.022989,0.000000
ash-smuggler,player_raises>=3,12,10,0,2,0,0,0.833333,0.000000,0.166667,0.000000,0.000000
calm-widow,player_raises>=3,12,11,0,1,0,0,0.916667,0.000000,0.083333,0.000000,0.000000
dock-braggart,player_raises>=3,12,10,0,2,0,0,0.833333,0.000000,0.166667,0.000000,0.000000
house-viper,player_raises>=3,12,11,0,1,0,0,0.916667,0.000000,0.083333,0.000000,0.000000
ledger-clerk,player_raises>=3,12,11,0,1,0,0,0.916667,0.000000,0.083333,0.000000,0.000000
river-shark,player_raises>=3,12,10,0,2,0,0,0.833333,0.000000,0.166667,0.000000,0.000000
smiling-knife,player_raises>=3,12,9,0,2,0,1,0.750000,0.000000,0.166667,0.000000,0.083333
velvet-rook,player_raises>=3,12,10,0,2,0,0,0.833333,0.000000,0.166667,0.000000,0.000000
ash-smuggler,table=cargo-table,48,10,13,16,9,0,0.208333,0.270833,0.333333,0.187500,0.000000
calm-widow,table=cargo-table,48,10,4,12,22,0,0.208333,0.083333,0.250000,0.458333,0.000000
dock-braggart,table=cargo-table,48,6,10,17,15,0,0.125000,0.208333,0.354167,0.312500,0.000000
house-viper,table=cargo-table,48,13,14,16,5,0,0.270833,0.291667,0.333333,0.104167,0.000000
ledger-clerk,table=cargo-table,48,14,17,15,2,0,0.291667,0.354167,0.312500,0.041667,0.000000
river-shark,table=cargo-table,48,10,14,19,5,0,0.208333,0.291667,0.395833,0.104167,0.000000
smiling-knife,table=cargo-table,48,9,10,16,12,1,0.187500,0.208333,0.333333,0.250000,0.020833
velvet-rook,table=cargo-table,48,1,17,28,2,0,0.020833,0.354167,0.583333,0.041667,0.000000
ash-smuggler,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
calm-widow,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
dock-braggart,table=embers-table,15,7,0,8,0,0,0.466667,0.000000,0.533333,0.000000,0.000000
house-viper,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
ledger-clerk,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
river-shark,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
smiling-knife,table=embers-table,15,13,0,2,0,0,0.866667,0.000000,0.133333,0.000000,0.000000
velvet-rook,table=embers-table,15,4,0,11,0,0,0.266667,0.000000,0.733333,0.000000,0.000000
ash-smuggler,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
calm-widow,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
dock-braggart,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
house-viper,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
ledger-clerk,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
river-shark,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
smiling-knife,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
velvet-rook,table=ledger-cellar,8,4,0,4,0,0,0.500000,0.000000,0.500000,0.000000,0.000000
ash-smuggler,table=mirror-hall,16,8,3,5,0,0,0.500000,0.187500,0.312500,0.000000,0.000000
calm-widow,table=mirror-hall,16,6,3,4,0,3,0.375000,0.187500,0.250000,0.000000,0.187500
dock-braggart,table=mirror-hall,16,5,3,5,0,3,0.312500,0.187500,0.312500,0.000000,0.187500
house-viper,table=mirror-hall,16,6,3,4,0,3,0.375000,0.187500,0.250000,0.000000,0.187500
ledger-clerk,table=mirror-hall,16,9,3,4,0,0,0.562500,0.187500,0.250000,0.000000,0.000000
river-shark,table=mirror-hall,16,8,3,5,0,0,0.500000,0.187500,0.312500,0.000000,0.000000
smiling-knife,table=mirror-hall,16,5,3,5,0,3,0.312500,0.187500,0.312500,0.000000,0.187500
