"family","source_entry","source_line","precondition","action","accepted_or_rejected","postcondition","existing_catalog_id","existing_test","evidence_status","evidence_path","notes"
"short_all_in","Table.act","Godot/three_d/rules/table.gd:109-116","轮到的行动者 stack>0 且 0<stack<欠注额（cargo-table：欠 20、stack 19）；夹具由席间转移筹码构造，pot+各席 stack 仍等于 3×buyIn","act(id,""all-in"")（raise_target 无关）","accepted","stacks[p0] 19→0；bets[p0] 0→19；contribs[p0] 0→19；pot 30→49（+19）；toAct [player,dock-braggart,ledger-clerk]→[dock-braggart,ledger-clerk]；currentActorId→dock-braggart；turnCounter+1；revision+1；未受影响：state.currentBet(20)、raiseUsed(false)、street、dealerSeat/smallBlindSeat/bigBlindSeat、community、deck、rng.value","queue.short_all_in","Godot/three_d/tests/short_stack_queue_test.gd:28-34","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","测试显式断言 stack==0、底池增量、currentBet 不变、队列、raiseUsed、RNG+牌堆不变、revision+1、总财富守恒。短全押不抬高目标额，故 Godot/three_d/rules/table.gd:113 的 reset_queue=target>state.currentBet 为假，不重开队列。缺口：夹具只覆盖玩家座位、三人桌；同一语义在非玩家座位/两人局/折扣桌未单独取证（按对称性不另计一行）。"
"exact_call_all_in","Table.act","Godot/three_d/rules/table.gd:106-108","轮到的行动者 stack 恰好等于欠注额（cargo-table：stack 20、欠 20）","act(id,""call"")","accepted","stacks[p0] 20→0；bets[p0] 0→20；contribs[p0] 0→20；pot 30→50（+20）；toAct [player,dock-braggart,ledger-clerk]→[dock-braggart,ledger-clerk]；currentActorId→dock-braggart；turnCounter+1；revision+1；未受影响：state.currentBet(20)、raiseUsed、street、庄位、community、deck、rng.value","queue.exact_call_all_in","Godot/three_d/tests/short_stack_queue_test.gd:28-34; Godot/three_d/tests/table_parity.gd:33-48（夹具 Godot/three_d/tests/table-fixtures.json 用例 30/35/36/55/72/80/109）","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/tests/table_parity.gd; Godot/three_d/tests/table-fixtures.json; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","与 short_all_in 是不同语义结果（底池与贡献各差 1；探针 pot_delta 20 vs 19），按口径不重复计数。stack==欠注额时 call 与 all-in 后继状态等价，不另计一行（探针已核）。第二条证据链：Godot/three_d/tests/table-fixtures.json 来自 src/game.js 的 JS 参考实现（Godot/three_d/tests/generate_table_fixtures.mjs 生成），Godot/three_d/tests/table_parity.gd 逐字段比对 pot/currentBet/street/toAct/各席 stack-currentBet-handContribution。"
"queue_reopen","Table.act","Godot/three_d/rules/table.gd:88-103","有玩家已跟注、随后另一名玩家在 raiseUsed==false 时加注到更高目标（cargo-table：目标 40）","act(id,""raise"")","accepted","state.currentBet 20→40（+raiseIncrement）；pot 50→90；加注者 stack 50→20、bets 10→40、contribs 10→30；toAct→[ledger-clerk,player]（按加注者座位重排）；raiseUsed false→true；firstAggressionDiscountAvailable true→false（货运桌首次进攻折扣被该加注者消耗）；turnCounter+1；revision+1；street/庄位/community/deck/rng.value 不变；随后 ledger-clerk 跟注后 currentActorId 回到 player","queue.raise_reopens_prior_caller","Godot/three_d/tests/short_stack_queue_test.gd:40-43","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","测试显式断言 toAct==[ledger-clerk,player]，并在后位跟注后断言原跟注者重新成为 currentActorId。该 ID 内未单独断言筹码/底池，改由 poker_action.raise 与 Godot/three_d/tests/poker_action_coverage_test.gd:36-42 覆盖。折扣按行动者判定、不区分玩家或 AI（本场景由 dock-braggart 消耗）。"
"queue_reopen","Table.act","Godot/three_d/rules/table.gd:109-116","仍有人欠注且未加注，随后一名玩家全押且其目标额（currentBet+stack）高于 state.currentBet","act(id,""all-in"")（走 all-in 分支，Godot/three_d/rules/table.gd:113 reset_queue=target>state.currentBet 为真）","accepted","与加注重开同型：state.currentBet 抬到全押者的 currentBet+stack；raiseUsed 置 true；toAct 按全押者座位重排；先前跟注者重新欠注；筹码/底池按该全押者剩余 stack 变动","","Godot/three_d/tests/short_stack_queue_test.gd:58-60（间接）","有测试但未登记","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","判断项：与 queue.raise_reopens_prior_caller 属不同源码分支（Godot/three_d/rules/table.gd:113-116 而非 102-103），本目录对命令粒度一贯分开登记（poker_action.open/raise/custom_raise 各自成 ID），故列为独立语义结果；若主 Agent 采「后继状态等价」口径可与之合并。现有证据是间接的：lone_funded 夹具里首个对手全押抬高目标后，第二个全押与随后的 toAct==[""player""] 断言共同体现了重开，但没有以「全押重开队列」命名的 ID 或专门断言。"
"lone_funded_queue","Table.set_queue","Godot/three_d/rules/table.gd:137-145","只剩一名未弃牌且 stack>0 的玩家（另两人已全押），且其 currentBet(20) < state.currentBet(30)","由对手依次全押触发 set_queue（Godot/three_d/rules/table.gd:140-141 的 funded.size()==1 分支未清空队列）","accepted","toAct==[player]、currentActorId==player（仍欠注者留在队列继续行动）；pot 80、bets [20,30,30]、contribs [30,30,30]、stacks [100,0,0]、raiseUsed true、state.currentBet 30；street/deck/庄位/RNG 不变","queue.lone_funded_owes","Godot/three_d/tests/short_stack_queue_test.gd:58-61","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","测试显式断言 currentActorId==""player"" 与 toAct==[""player""]。该 ID 内未单独断言筹码/底池（由同一夹具的后续断言与 runout 断言间接覆盖）。守卫位置：Godot/three_d/rules/table.gd:139-141，仅当唯一有筹码者的 currentBet>=state.currentBet 时才清空可用队列。"
"lone_funded_queue","Table.act","Godot/three_d/rules/table.gd:106-108","同一局面，唯一有筹码者补足到 state.currentBet","act(""player"",""call"")","accepted","player stack 100→90、bets 20→30、contribs 20→30、pot 80→90；toAct==[]、currentActorId==""""（已跟平者不再行动）；raiseUsed true、state.currentBet 30；street/deck/庄位/RNG 不变","queue.lone_funded_matched","Godot/three_d/tests/short_stack_queue_test.gd:63-65","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","测试显式断言唯一有筹码者 stack>0 且 toAct 为空。该结论依赖 Godot/three_d/rules/table.gd:140-141 的「已跟平则清空队列」守卫；该守卫经由 act() 内 :132-133 的「弹出后重排队」路径到达（2026-09-24 自检修正：source_line 原误写为 set_queue 的 :136-143）。"
"lone_funded_queue","Table.advance","Godot/three_d/rules/table.gd:146-173","唯一有筹码者已跟平、无人可行动、status==playing","advance() 逐街（flop/turn/river）","accepted","street preflop→flop→turn→river；community 0→3→4→5；deck 每街减 3/1 张；toAct 保持 []、currentActorId 保持 """"；pot 保持 90；rng.value 不变；庄位不变","queue.lone_funded_runout","Godot/three_d/tests/short_stack_queue_test.gd:67-75","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","测试按街逐一断言street、toAct 为空、牌堆/公共牌与预期发牌一致、RNG 与底池不变、currentActorId 为空。探针独立复核同一批字段（runout 三条 street 全部 accepted）。"
"lone_funded_queue","Table.advance -> Poker.settle_pots","Godot/three_d/rules/table.gd:149-160","河牌且无人可行动（无人可再下注）","advance()（河牌入口触发 settle_pots）","accepted","status→hand_over；summary.kind==""showdown""；summary.pot==底池；awards 合计==底池；各席 stack 增量==该席 awards；toAct/currentActorId 为空；pendingNextHand true；三席 stack 合计==3×buyIn；RNG/deck/community 不变","queue.runout_showdown_conserves","Godot/three_d/tests/short_stack_queue_test.gd:77-81","已登记且有后继状态证据","Godot/three_d/tests/short_stack_queue_test.gd; Godot/three_d/rules/table.gd:149-160; Godot/three_d/rules/poker.gd:110-156; output/external-handoff/A3/probe-boundaries.log","语义为「发完后摊牌且总财富守恒」，与 queue.lone_funded_runout（逐街发牌不改底池）相邻但不同。仅断言总额守恒，不证明胜者分配正确；胜者/边池金额由 payout.* 六种独立预期覆盖。"
"aggression_discount","Table.act","Godot/three_d/rules/table.gd:94-96","cargo-table 且 firstAggressionDiscountAvailable==true（本手尚无激进行动）；行动者欠注 20","act(id,""raise"")（默认目标 = currentBet+raiseIncrement = 40）","accepted","行动者 stack 60→30（实付 30 = 欠注 20 + 加注增量 20 - 折扣 10）；pot 30→60；state.currentBet 20→40；bets/contribs 同步 +30；raiseUsed false→true；firstAggressionDiscountAvailable true→false；toAct→[dock-braggart,ledger-clerk]；turnCounter+1；revision+1；street/庄位/community/deck/rng.value 不变","","Godot/three_d/tests/table_test.gd:66-67; Godot/three_d/tests/raise_preview_test.gd:38-48; Godot/three_d/tests/poker_action_coverage_test.gd:30-38","有测试但未登记","Godot/three_d/tests/table_test.gd; Godot/three_d/tests/raise_preview_test.gd; Godot/three_d/tests/poker_action_coverage_test.gd; Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","三条既有测试都有后继状态断言：table_test 断言 stack==30、currentBet==40 且标志已消耗；raise_preview_test 用隔离桌把折扣临时改为 5，断言预览文案、实际扣款与标志一次性；poker_action_coverage_test 把折扣计入预期扣款并核对 pot/currentBet/stack。但目录中没有以「首次进攻折扣」为名的 ID，它目前只是 poker_action.raise/open/custom_raise 的隐含修正量，而这三条 ID 本身未单独校验标志翻转。"
"aggression_discount","Table.act","Godot/three_d/rules/table.gd:94-96","本手折扣已被消耗（firstAggressionDiscountAvailable==false），同一手后续街再次进攻；或 flag 直接置假的隔离夹具","act(id,""raise"")","accepted","实付为全额：翻牌无人下注时加注到 openBet=20 即扣 20（不再减 10）；preflop 直接加注到 40 扣 40；标志保持 false；call 等非激进动作不消耗标志（call 后仍为 true）","","","未找到测试","Godot/three_d/rules/table.gd; output/external-handoff/A3/probe-boundaries.log","既有测试只断言「第一次进攻后标志变 false」，没有断言「第二次进攻按全额扣款」，也没有断言「call 不消耗标志」。本任务 repro 探针在内存中补证：自然路径（首手加注 → 两家跟注 → 推进到翻牌 → 玩家再次加注）实付 20=openBet；隔离路径（标志直置 false）实付 40=欠注+增量；call 后标志仍为 true。三条断言均通过（output/external-handoff/A3/probe-boundaries.log：checks 67 / failed 0，exit 0）。"
