测试者编号,经验组,代码版本,种子编号,路线,决策序号,机会ID,机会计数,关联尝试,时刻,前置状态,可见选项,选择,是否成功执行,是否计入决策事件,不计入原因,分叉标记,理由,结果,复盘
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,1,OP-01,计 1 次,-,00:01:20,大厅；行动力 2；搜索点「遗落的外套」（货运桌站）,拿银打火机 · 1 行动力，风声 +1｜只抄下接应线索 · 1 行动力,只抄下接应线索,是,是,-,分叉前,先拿到路线比拿东西有用,行动力 2→1；route_flags.fixed = true（search_events.gd:4 lead → route fixed）,当时没注意另一个选项要加风声
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,2,OP-02,计 1 次,-,00:02:05,大厅；现金 300；货运桌买入 60,开始本桌（买入 60，风声 +1）｜离座（返回探索）,开始本桌,是,是,-,分叉前,来都来了,现金 300→240；风声 0→1；第 1 手开始（run.gd:174-175）,-
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,3,OP-03,计 1 次,-,00:03:10,货运桌 第 1 手 翻牌前；欠注 20（小盲 10／大盲 20）,弃牌｜跟注 20｜加注 40（欠注 20 时「过牌」不合法：table.gd:75 check 需 cost == 0）,（先点了「过牌」）,否,否,被系统拒绝（table.gd:82-83 非法动作直接 return false，不改状态）,分叉前,以为可以先过牌,无变化（现金、筹码、阶段都不变）,按钮就在旁边，但不是当时的合法动作
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,4,OP-03,不计（同一机会的重复尝试）,第 3 条,00:03:20,同第 3 条,弃牌｜跟注 20｜加注 40,跟注 20,是,是,-,分叉前,跟一下看看,筹码 60→40；进入翻牌圈,与第 3 条是同一个机会，机会只计 1 次
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,5,OP-04,计 1 次,-,00:04:10,货运桌 第 1 手 翻牌圈；欠注 0,弃牌｜过牌｜下注（至少 20；首攻折扣未用完时可少付 10）,过牌,是,是,-,分叉前,不想先下注,进入转牌圈,-
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,6,OP-05,计 1 次,-,00:05:05,货运桌 第 1 手 转牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉前,牌没变好,进入河牌圈,-
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,7,OP-06,计 1 次,-,00:06:00,货运桌 第 1 手 河牌圈；欠注 0,弃牌｜过牌｜下注（至少 20）,过牌,是,是,-,分叉前,不想再加钱,第 1 手摊牌结束（table.gd:149-159）,-
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,8,OP-07,计 1 次,-,00:07:30,货运桌 第 2 手 翻牌前；欠注 20,弃牌｜跟注 20｜加注 40,弃牌,是,是,-,**分叉点**（同一局面，老手选加注 40）,牌不好，不玩了,本手弃出；本桌两手结束（hands = 2）；离桌返还筹码 48（记录值，不由本表推导）,从这条起两人的牌与底池开始不同
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,9,OP-08,计 1 次,-,00:09:40,大厅；行动力 2（离桌后刷新，run.gd:217）；第 2 档服务面板（search_index 已为 2）,服务面板：本档在架道具的购买按钮（含一次性手机 50）,（打开面板看了在架道具后关闭，未点任何购买按钮）,否,否,未作选择（关闭面板走开，没有发生被系统接受的交易；「不买」不是可点的选项）,分叉后（不配对）,他说「看看有什么能带的」,现金不变；未购买任何道具；本机会仍计 1 次,机会 +1 但不计事件
P-A1（示例·虚构）,新手,8382b7b（示例）,20260922（示例）,烟雾酒馆 / 只打货运桌 / 普通出口,10,OP-09,计 1 次,-,00:12:15,撤离框；现金 288；风声 1；valuable_total 0；public_exit = true（离桌时已置位，run.gd:219）,普通出口（手续费 = 24 + floor(现金×0.12)，风声恰为 5 时再加 45）｜紧急出口 · 丢现金（手续费 10，另丢 floor(现金×0.4)）｜（预约接应：本局未在酒保处预订，不可用）,普通出口,是,是,-,分叉后（不配对）,费用还能接受,手续费 24 + floor(288×0.12) = 58；到账 230；金库 1200 − 300 + 230 = 1130,T_extract = 00:12:15；本局总时长 00:12:15
