类别,ID,名称,所属酒馆,规则定义位置,执行入口,获得或解锁条件,成本,效果或收益,限制,测试证据,实现状态,验证状态,生成脚本,导出文件,加载函数,运行使用点,缺口
酒馆,smoky-den,烟雾酒馆,自身,Godot/three_d/rules/content.json:252-269,run.gd:527 scene_definition() / run.gd:51 start() / routes.gd:10-15 普通出口计费,出发框选择目的地;金库≥120,-,降风声 24;普通出口 24+现金12%;封锁附加 45;预约折扣 10;预约宽限 2 轮;入桌额外风声 0;特殊入口揭示折扣 0,金库<120 不可出发(run.gd:52);同晚不可重复访问(transfer_quote),run_test 639 / scene_rules 176 / extraction_conservation 33768 组合 / routes_items 54 / venue_transfer 923,已实现,已核验,-,-,-,-,四店共用同一套灰盒外壳（world.gd:206 build_tavern() 单函数生成 4 个房间实例，offset 10/20/30/40）。建筑差异只在费率/货架/路线/色板，见 asset-gaps.csv
酒馆,high-rise-suite,高层套房,自身,content.json:270-287,同上,同上,-,降风声 36;普通出口 42+现金18%;封锁附加 70;预约折扣 0;宽限 3 轮;入桌额外风声 0;特殊入口揭示折扣 0,同上,scene_rules 176 / transfer_coverage / route_guard 192 情境,已实现,已核验,-,-,-,-,同上：建筑与美术为四店共用外壳
酒馆,rooftop-club,屋顶会所,自身,content.json:288-305,同上,同上,-,降风声 30;普通出口 28+现金13%;封锁附加 60;预约折扣 5;宽限 1 轮;入桌额外风声 +1;特殊入口揭示折扣 5,同上,scene_rules 176(含 entryHeatBonus 断言 scene_rules:63),已实现,已核验,-,-,-,-,同上：建筑与美术为四店共用外壳
酒馆,neon-poker-club,霓虹扑克俱乐部,自身,content.json:306-323,同上,同上,-,降风声 30;普通出口 34+现金14%;封锁附加 55;预约折扣 0;宽限 2 轮;入桌额外风声 0;特殊入口揭示折扣 10,同上,scene_rules 176,已实现,已核验,-,-,-,-,同上：建筑与美术为四店共用外壳
牌桌,cargo-table,货运桌,随房间(顺序首桌/分支首桌),content.json:2-35,run.gd:165 enter_table / table.gd:21 start,完成前置桌或分支条件;现金≥买入(60),买入 60(离桌返还剩余筹码),买入60;小盲10;开注20;加注步长20;2 手;入桌风声+1;首次激进行动便宜 10,unlocksAfter=null;本局已完成不可重入,table_test 1879(含 table_test:67 优惠只扣一次)/ two_tables 27 / entry_coverage 12,已实现,已核验,-,-,-,-,"content.json 的 firstAggressionDiscount 字段未被读取：**4 处硬编码 10 / 硬编码开关**——table.gd:26（开关 `tableDef.id == ""cargo-table""`）、table.gd:67（`discount := 10 if ...`）、table_hud.gd:201（加注实付预览 `""discount"":10 if ...`，2026-09-22 提交 413dce9 新增）、raise_preview_test.gd:19（同名测试内也硬编码 10）。属**数据未接线**，不是规则缺失（table_test:67 已验证只扣一次）。改 content.json 数值不会生效"
牌桌,ledger-cellar,账房地窖,同上,content.json:36-68,同上,需先完成 cargo-table(顺序局),买入 90,小盲15;开注30;加注步长30;2 手;入桌风声+1;桌面道具额外风声 +1,同上,two_tables 27 / four_tables 110,已实现,已核验,-,-,-,-,tableToolHeatBonus 已在 run.gd:363 与 advanced_services.gd:79 读取；本桌无未接线字段
牌桌,mirror-hall,镜厅,同上,content.json:69-101,同上,需先完成 cargo-table(顺序局),买入 120,小盲20;开注40;加注步长40;3 手;入桌风声+2;可押 1 件贵重物,unlocksAfter=ledger-cellar;抵押物须为自有贵重物(run.gd:170),four_tables 110(含 four_tables:91/107-114)/ settlement_coverage 21,已实现,已核验,-,-,-,-,-
牌桌,embers-table,余烬桌,同上,content.json:102-135,同上,顺序局需先完成 mirror-hall;分支局需完成 ledger-cellar 与 mirror-hall(run.gd:146-151),买入 160,小盲25;开注50;加注步长50;3 手;入桌风声+2;盈利收桌降 1 风声,同上,two_tables / four_tables / room_pool 722,已实现,已核验,-,-,-,-,-
物品-可用,marked-lens,标记镜片,全酒馆货架(按轮次/种子),content.json:328-338,service_reason run.gd:269-280;service_action run.gd:349-352,商店购买(买价40)或搜索事件奖励,买 40 / 卖 20 / 占 1 格,牌局中预览牌堆顶下一张公共牌;本桌限一次;风声 +1 +该桌 tableToolHeatBonus,仅进行中牌桌;河牌不可用;本桌已用不可重复;背包满不可买,service_coverage 21 / tool_coverage 15 / services_save 46 / spatial_interaction 96,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；run.gd:269-280 拒绝 / :349-352 使用（牌局内预览公共牌）,-
物品-可用,signal-lighter,信号打火机,全酒馆货架,content.json:339-349,advanced_services.gd:4-43 reason / :44-82 apply,商店购买(35),买 35 / 卖 15 / 占 1 格,读取一名对手当前牌力为强/中/弱(不揭示底牌);本桌限一次;风声 +0 +该桌加成,仅进行中牌桌;不可选自己或已弃牌对手;本桌已用不可重复,advanced_coverage 26 / routes_items 54,已实现,部分验证,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；advanced_services.gd:4-43 reason / :44-82 apply,强/中/弱阈值与有效对手计数列为 pending_families.signal_analysis，**未单独验证**（不是实现缺失）
物品-可用,player-notes,玩家笔记,全酒馆货架,content.json:350-360,advanced_services.gd:18-19 reason / :64-66 apply,商店购买(50),买 50 / 卖 25 / 占 1 格,记录一名对手的风格原型;可消耗第二份记录另一位对手;风声 +0 +该桌加成,仅进行中牌桌;不可选自己;同一对手不可重复记录(redundant_intel_test:31),redundant_intel 7 / advanced_coverage 26 / routes_items 54,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；advanced_services.gd:18-19 reason / :64-66 apply,-
物品-可用,steadying-drink,镇定酒,全酒馆货架(保底供应),content.json:361-371,service_reason run.gd:295-301;service_action run.gd:338-345,商店购买(30),买 30 / 卖 10 / 占 1 格,离桌后使用降低风声 1;每轮只能降一次,需要在探索阶段;无牌桌;未持有不可用;本轮已降过不可重复,service_coverage 21(含买30/卖10独立预期),已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；run.gd:295-301 拒绝 / :338-345 使用（探索阶段降风声）,-
物品-可用,disposable-phone,一次性手机,全酒馆货架(第 2 阶段保底),content.json:372-382,advanced_services.gd:32-37 reason / :55-63 apply,商店购买(50),买 50 / 卖 20 / 占 1 格,二选一:更新固定接应方案 / 查明一桌规则+对手+奖励,需要在探索阶段;已完成的桌、已知完整情报不可重复;路线已知不可用,advanced_coverage 26 / reservation_coverage 11 / redundant_intel 7 / routes_items 54,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；advanced_services.gd:32-37 reason / :55-63 apply,-
物品-可用,kitchen-pass,后厨通行证,全酒馆货架,content.json:383-394,advanced_services.gd:38-42 reason / :52-54 apply;unlockRoute=service-stairs,商店购买(45),买 45 / 卖 20 / 占 1 格,揭示本店 service-stairs 特殊撤离入口,需要在探索阶段;同名入口已揭示不可重复,advanced_coverage 26 / routes_items 54(含实体入口射线) / scene_rules 176,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；advanced_services.gd:38-42 reason / :52-54 apply，unlockRoute=service-stairs,-
物品-可用,dock-passkey,码头密钥,全酒馆货架,content.json:395-406,advanced_services.gd:38-42 reason / :52-54 apply;unlockRoute=river-launch,商店购买(55),买 55 / 卖 25 / 占 1 格,揭示本店 river-launch 特殊撤离入口,需要在探索阶段;同名入口已揭示不可重复,advanced_coverage 26 / scene_rules 176,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；advanced_services.gd:38-42 reason / :52-54 apply，unlockRoute=river-launch,-
物品-可用,false-bottom-wallet,夹层钱包,全酒馆货架,content.json:407-417,run.gd:461 abandon() 结算,商店购买(70),买 70 / 卖 30 / 占 1 格,本局失败(放弃)时保留至多 80 现金到金库,仅在本局失败路径生效;正常撤离不触发,lifecycle_coverage(abandon/wallet 组) / routes_items 54(no affordable exit 场景),已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；run.gd:461 abandon() 结算保留 80 现金,-
物品-可用,sleeve-clip,袖口夹,全酒馆货架,content.json:418-428,service_reason run.gd:269-280;service_action run.gd:353-359,商店购买(80),买 80 / 卖 30 / 占 1 格,翻牌前首次行动前替换第二张手牌;本桌限一次;风声 +2 +该桌加成,仅翻牌前且 turnCounter==0 且轮到玩家;本桌已用不可重复;与透镜组合时保留已预览牌顶,service_coverage 21 / tool_coverage 15 / services_save 46,已实现,已核验,assets/blender/tavern-detail/build_props.py,Godot/three_d/assets/interactive-props.glb（节点名即道具 id）+ props-export.json（12 键）,world.gd:11 PROPS_ASSET / world.gd:958-962 make_detailed_prop(),bar_display.gd:24-37 货架 / :52-53 make_item()；购买交接 world.gd:860 bar_display.deliver(id)；run.gd:269-280 拒绝 / :353-359 使用（翻牌前换第二张手牌）,-
物品-贵重,old-silver-lighter,旧银打火机,货架外(奖励/搜索),content.json:429-437,run.gd:199 奖励 / run.gd:447 sale_value / routes.gd:51 撤离净值,货运桌盈利奖励(栈<90)或搜索事件 goods 结果,售价 45 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买;抵押需该桌 allowCollateral,settlement_coverage 21(case lighter) / search_coverage 20(goods) / entry_coverage 12,已实现,部分验证,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无对应物。stash-noir 里最近似的静态装饰是「Silver cigarette case」（银烟盒，build_scene.py:147），**不是打火机**；无独立 GLB,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例。出售路径（sale_value）已定义但**未单独断言**；搜索事件 goods 结果已在 search_coverage_test:51 覆盖数据侧
物品-贵重,ivory-chip,象牙筹码,货架外(奖励),content.json:438-446,同上,货运桌盈利奖励(首次)或旧银打火机已持有时的二次奖励,售价 60 / 占 1 格,可作抵押物;撤离时计入到账价值,不可购买,services_save 46 / settlement_coverage 21 / route_guard 192 / lifecycle_coverage / four_tables 110,已实现,已核验,无独立建模脚本；藏匿点场景装饰出自 assets/blender/stash-noir/build_scene.py「05 • Personal valuables」（场景静物，非道具资产）,无独立 GLB。stash-noir「04 • Casino chips」的 Clay poker chip / Ivory edge insert / Chip ivory center 是场景筹码堆装饰（build_scene.py:133-144）,world.gd:14 STASH_ASSET / world.gd:181-184 build_stash()（作为藏匿点静态装饰加载，不是道具实例）,规则侧：run.gd:449 sale_value / run.gd:199-202 奖励发放 / routes.gd:51 撤离净值 / table_hud.gd:144-148 抵押下拉（纯文字）。3D 无道具实例,无 3D 道具实例，只有场景筹码堆装饰；规则侧已核验
